,Table 7: Species changing IUCN Red List Status (2013-2014),,,,,
,,,,,,
,"Published listings of a species' status may change for a variety of reasons (genuine improvement or deterioration in status; new information being available that was not known at the time of the previous assessment; taxonomic changes; corrections to mistakes made in previous assessments, etc. To help Red List users interpret the changes between the Red List updates, a summary of species that have changed category between 2013 (IUCN Red List version 2013.2) and 2014 (IUCN Red List version 2014.3) and the reasons for these changes is provided in the table below.",,,,,
,"IUCN Red List Categories:  EX - Extinct, EW - Extinct in the Wild, CR - Critically Endangered, EN - Endangered, VU - Vulnerable, LR/cd - Lower Risk/conservation dependent, NT - Near Threatened (includes LR/nt - Lower Risk/near threatened), DD - Data Deficient, LC - Least Concern (includes LR/lc - Lower Risk, least concern).",,,,,
,"Reasons for change:  G - Genuine status change (genuine improvement or deterioration in the species' status); N - Non-genuine status change (i.e., status changes due to new information, improved knowledge of the criteria, incorrect data used previously, taxonomic revision, etc.); E - Previous listing was an Error.",,,,,
,,,,,,
,Scientific name,Common name,IUCN Red List (2013) Category,IUCN Red List (2014) Category,Reason for change,Red List version
,,,,,,
,MAMMALS,,,,,
,Phaner electromontis,Amber Mountain Fork-marked Lemur,VU,EN,G,2014.1
,Phaner furcifer,Masoala Fork-marked Lemur,LC,VU,G,2014.1
,Phaner pallescens,Pale Fork-marked Lemur,LC,EN,G,2014.1
,Phaner parienti,Sambirano Fork-marked Lemur,VU,EN,G,2014.1
,Phataginus tetradactyla,Black-bellied Pangolin,LC,VU,N,2014.2
,Phataginus tricuspis,White-bellied Pangolin,NT,VU,N,2014.2
,Propithecus deckenii,Van der Decken’s Sifaka,VU,EN,G,2014.1
,Propithecus diadema,Diademed Sifaka,EN,CR,G,2014.1
,Propithecus tattersalli,Golden-crowned Sifaka,EN,CR,G,2014.1
,Propithecus verreauxi,Verreaux's Sifaka,VU,EN,G,2014.1
,Smutsia gigantea,Giant Ground Pangolin,NT,VU,N,2014.2
,Smutsia temminckii,Temminck's Ground Pangolin,LC,VU,N,2014.2
,Varecia rubra,Red Ruffed Lemur,EN,CR,G,2014.1
,,,,,,
,BIRDS,,,,,
,Accipiter erythrauchen,Rufous-necked Sparrowhawk,LC,NT,G,2014.2
,Accipiter henicogrammus,Moluccan Goshawk,LC,NT,N,2014.2
,Amazona finschi,Lilac-crowned Amazon ,VU,EN,N,2014.2
,Anodorhynchus hyacinthinus,Hyacinth Macaw,EN,VU,G,2014.2
,Anthus melindae,Malindi Pipit,NT,LC,N,2014.2
,Apalharpactes reinwardtii,Javan Trogon,EN,VU,N,2014.2
,Arborophila crudigularis,Taiwan Partridge,NT,LC,N,2014.2
,Brachyramphus brevirostris,Kittlitz's Murrelet,CR,NT,G,2014.2
,Corvus validus,Long-billed Crow,LC,NT,N,2014.2
,Cryptoleucopteryx plumbea,Plumbeous Hawk,NT,VU,N,2014.2
,Didunculus strigirostris,Tooth-billed Pigeon,EN,CR,G,2014.2
,Estrilda thomensis,Cinderella Waxbill,NT,LC,N,2014.2
,Eulidia yarrellii,Chilean Woodstar,EN,CR,G,2014.2
,Falco fasciinucha,Taita Falcon,NT,VU,G,2014.2
,Falco punctatus,Mauritius Kestrel,VU,EN,G,2014.2
,Gypaetus barbatus,Bearded Vulture,LC,NT,N,2014.2
,Gyps himalayensis,Himalayan Griffon,LC,NT,N,2014.2
,Hydrobates matsudairae,Matsudaira's Storm-petrel,DD,VU,N,2014.2
,Hylocichla mustelina,Wood Thrush,LC,NT,N,2014.2
,Liocichla bugunorum,Bugun Liocichla,VU,CR,G,2014.2
,Megascops seductus,Balsas Screech-owl,NT,LC,N,2014.2
,Otus beccarii,Biak Scops-owl,EN,VU,N,2014.2
,Paradisaea decora,Goldie's Bird-of-paradise,NT,VU,N,2014.2
,Pica nuttalli,Yellow-billed Magpie,LC,NT,G,2014.2
,Pitta kochi,Whiskered Pitta,VU,NT,N,2014.2
,Plectrophenax hyperboreus,McKay's Bunting,NT,LC,N,2014.2
,Prioniturus luconensis,Green Racquet-tail,VU,EN,G,2014.2
,Psophia leucoptera,White-winged Trumpeter,LC,NT,N,2014.2
,Semioptera wallacii,Standardwing,LC,NT,N,2014.2
,Spizaetus isidori,Black-and-chestnut Eagle,VU,EN,N,2014.2
,Tringa brevipes,Grey-tailed Tattler,LC,NT,N,2014.2
,Xenocopsychus ansorgei,Angola Cave-chat,NT,LC,N,2014.2
,,,,,,
,REPTILES,,,,,
,Barkudia insularis,Madras Spotted Skink,DD,CR,N,2014.1
,Achalinus jinggangensis,Zong's Odd-scaled Snake,DD,CR,N,2014.3
,Brookesia peyrierasi,,VU,EN,E,2014.2
,Mecistops cataphractus,Slender-snouted Crocodile,DD,CR,N,2014.1
,Mochlus mafianum,Mafia Writhing Skink,EN,LC,N,2014.3
,Scolecoseps acontias,Sandy Limbless Skink,VU,DD,N,2014.3
,Tantilla jani,Jan's Centipede Snake,DD,VU,N,2014.1
,Thermophis baileyi,Xizang Hot-spring Keel Back,VU,NT,N,2014.3
,Tomistoma schlegelii,False Gharial,EN,VU,N,2014.1
,Trimetopon slevini,Slevin's Tropical Ground Snake,NT,LC,N,2014.1
,Trioceros incornutus,Ukinga Hornless Chameleon,VU,LC,N,2014.3
,Trioceros laterispinis,Spiny-sided Chameleon,VU,EN,N,2014.3
,,,,,,
,AMPHIBIANS,,,,,
,Altiphrynoides osgoodi,Osgood's Ethiopian Toad,VU,CR(PE),G,2014.1
,Ameerega pongoensis,,DD,VU,N,2014.1
,Ameerega silverstonei,Silverstone's Poison Frog,DD,EN,N,2014.1
,Amietia desaegeri,,DD,LC,N,2014.1
,Amietia tenuoplicata,,DD,NT,N,2014.3
,Andinobates dorisswansonae,,CR,VU,G,2014.3
,Andinobates tolimensis,,EN,VU,G,2014.3
,Arthroleptis nikeae,Nike's Squeaker,EN,CR,N,2014.1
,Arthroleptis troglodytes,Cave Squeaker,CR,CR(PE),N,2014.1
,Atelopus laetissimus,,CR,EN,N,2014.3
,Atelopus nahumae,,CR,EN,N,2014.3
,Bolitoglossa odonnelli,O'Donnell's Salamander,EN,NT,N,2014.3
,Bromeliohyla bromeliacia,Bromeliad Treefrog,EN,LC,N,2014.3
,Centrolene robledoi,,VU,LC,N,2014.3
,Craugastor gulosus,,EN,CR(PE),N,2014.1
,Craugastor obesus,,EN,CR(PE),N,2014.1
,Duellmanohyla soralia,Copan Brook Frog,CR,EN,N,2014.3
,Gastrotheca atympana,,DD,VU,N,2014.1
,Hyalinobatrachium pellucidum,Rio Azuela Glass Frog,EN,NT,N,2014.1
,Hyla suweonensis,Suweon Treefrog,DD,EN,N,2014.1
,Hyloscirtus colymba,La Loma Treefrog,CR,NT,N,2014.1
,Laotriton laoensis,,DD,EN,N,2014.1
,Leptopelis vermiculatus,Amani Forest Treefrog,VU,EN,N,2014.1
,Mantella cowanii,Cowan's Mantella,CR,EN,N,2014.3
,Nototriton brodiei,,CR,EN,N,2014.3
,Oreobates ayacucho,,DD,EN,N,2014.1
,Phrynobatrachus pintoi,,DD,EN,N,2014.1
,Phrynopus peruanus,Peters' Andes Frog,DD,CR,N,2014.1
,Pristimantis cruciocularis,,LC,VU,N,2014.1
,Pristimantis fallax,,EN,VU,N,2014.3
,Pristimantis melanogaster,,DD,EN,N,2014.1
,Pristimantis ornatus,,LC,EN,N,2014.1
,Pristimantis pardalinus,,DD,CR,N,2014.1
,Pseudophilautus ocularis,,EN,CR,N,2014.3
,Ptychohyla hypomykter,Copan Stream Frog,CR,LC,N,2014.3
,Ranitomeya flavovittata,,DD,LC,N,2014.1
,Ranitomeya sirensis,Sira Poison Frog,EN,LC,N,2014.1
,Sachatamia punctulata,,VU,EN,N,2014.3
,Telmatobius atahualpai,Amazonas Water Frog,DD,NT,N,2014.1
,Telmatobius timens,,DD,CR,N,2014.1
,Xenopus largeni,Largen's Clawed Frog,DD,EN,N,2014.1
,,,,,,
,FISHES,,,,,
,Acanthobrama centisquama,Long-spine Bream,EN,CR,N,2014.1
,Acanthobrama lissneri,Jordan Bream,LC,NT,N,2014.1
,Acanthobrama telavivensis,Yarkon Bream,EW,VU,G,2014.1
,Alburnus heckeli,Hazer Shah Kuli,DD,LC,N,2014.1
,Alburnus orontis,Orontes Spotted Bleak,EN,VU,N,2014.1
,Alburnus qalilus,Syrian Spotted Bleak,VU,EN,N,2014.1
,Alburnus tarichi,Van Shah Kuli,DD,NT,N,2014.1
,Amblyopsis rosae,Ozark Cavefish,VU,NT,N,2014.3
,Amblyopsis spelaea,Northern Cavefish,VU,NT,N,2014.3
,Anguilla bengalensis,Indian Mottled Eel,LC,NT,N,2014.1
,Anguilla bicolor,Shortfin Eel,LC,NT,G,2014.1
,Aphanius anatoliae,Lake Tuz Toothcarp,DD,NT,N,2014.1
,Aphanius asquamatus,Hazer Toothcarp,DD,LC,N,2014.1
,Aphanius splendens,Gölçük Toothcarp,CR,EX,N,2014.1
,Aphanius sureyanus,Burdur Toothcarp,DD,EN,N,2014.1
,Caecocypris basimi,Haditha Cavefish,VU,CR(PE),N,2014.1
,Canthigaster rapaensis,,VU,EN,N,2014.3
,Capoeta bergamae,Aegean Scraper,VU,NT,N,2014.1
,Carasobarbus canis,Jordan Himri,LC,NT,N,2014.1
,Carasobarbus chantrei,Orontes Himri,EN,NT,N,2014.1
,Catostomus microps,Modoc Sucker,EN,NT,N,2014.3
,Catostomus santaanae,Santa Ana Sucker,VU,EN,G,2014.3
,Catostomus warnerensis,Warner Sucker,VU,EN,N,2014.3
,Chasmistes cujus,Cui-ui,CR,EN,G,2014.3
,Chondrostoma fahirae,Tefenni Nase,CR(PE),EN,N,2014.1
,Chondrostoma holmwoodii,Eastern Aegean Nase,DD,VU,N,2014.1
,Chrosomus cumberlandensis,Blackside Dace,VU,EN,N,2014.3
,Cobitis bilseli,Great Bey_ehir Spined Loach,CR,EN,N,2014.1
,Cobitis levantina,Orontes Sspined Loach,VU,EN,N,2014.1
,Cobitis puncticulata,Brown Sspined Loach,CR,EN,N,2014.1
,Corcyrogobius liechtensteini,Liechtenstein's Goby,DD,LC,N,2014.3
,Cottus asperrimus,Rough Sculpin,VU,NT,N,2014.3
,Cottus greenei,Shoshone Sculpin,VU,NT,N,2014.3
,Cottus leiopomus,Wood River Sculpin,VU,NT,N,2014.3
,Crenichthys baileyi,White River Killifish,VU,EN,N,2014.3
,Crossocheilus klatti,Anatolian Golden Barb,DD,EN,N,2014.1
,Cyprinella monacha,Spotfin Chub,LR/nt,VU,N,2014.3
,Cyprinodon diabolis,Devil's Hole Pupfish,VU,CR,G,2014.3
,Cyprinodon tularosa,White Sand's Pupfish,VU,EN,N,2014.3
,Didogobius schlieweni,,DD,LC,N,2014.3
,Didogobius splechtnai,Spechtna's Goby,DD,LC,N,2014.3
,Emblemariopsis tayrona,Tayrona Blenny,VU,DD,N,2014.3
,Entomacrodus cadenati,West African Rockhopper,DD,LC,N,2014.3
,Eretmophorus kleinenbergi,,DD,LC,N,2014.3
,Etheostoma acuticeps,Sharphead Darter,LR/nt,VU,N,2014.3
,Etheostoma aquali,Coppercheek Darter,VU,NT,N,2014.3
,Etheostoma okaloosae,Okaloosa Darter,EN,LC,N,2014.3
,Eucyclogobius newberryi,Tidewater Goby,VU,NT,N,2014.3
