class,Binomial,category_at_start,category_at_end,first_year,second_year,numeric_category_at_start,numeric_category_at_end,Delta_Status
MAMMALS,Pteropus lylei,NT,VU,2007,2008,1,2,-1
MAMMALS,Pteropus melanopogon,NT,EN,2007,2008,1,3,-2
MAMMALS,Pteropus niger,VU,EN,2007,2008,2,3,-1
MAMMALS,Pteropus temminckii,LR/nt,VU,2007,2008,NA,2,NA
MAMMALS,Pteropus vampyrus,NT,NT,2007,2008,1,1,0
MAMMALS,Pteropus woodfordi,NT,VU,2007,2008,1,2,-1
MAMMALS,Rousettus bidens,LR/nt,VU,2007,2008,NA,2,NA
MAMMALS,Styloctenium wallacei,LR/nt,VU,2007,2008,NA,2,NA
MAMMALS,Rhinolophus cognatus,VU,EN,2007,2008,2,3,-1
MAMMALS,Rhinolophus sedulus,NT,NT,2007,2008,1,1,0
MAMMALS,Corynorhinus mexicanus,NT,NT,2007,2008,1,1,0
MAMMALS,Hesperoptenus tomesi,NT,VU,2007,2008,1,2,-1
MAMMALS,Kerivoula pellucida,NT,NT,2007,2008,1,1,0
MAMMALS,Murina aenea,LR/nt,VU,2007,2008,NA,2,NA
MAMMALS,Murina rozendaali,LR/nt,VU,2007,2008,NA,2,NA
MAMMALS,Phoniscus atrox,NT,NT,2007,2008,1,1,0
MAMMALS,Rhogeessa minutilla,LR/nt,VU,2007,2008,NA,2,NA
MAMMALS,Dasyurus hallucatus,LR/nt,EN,2007,2008,NA,3,NA
MAMMALS,Pseudantechinus bilarni,NT,NT,2007,2008,1,1,0
MAMMALS,Sarcophilus harrisii,NT,EN,2007,2008,1,3,-2
MAMMALS,Myrmecobius fasciatus,VU,EN,2007,2008,2,3,-1
MAMMALS,Burramys parvus,EN,CR,2007,2008,3,4,-1
MAMMALS,Dendrolagus mbaiso,VU,CR,2007,2008,2,4,-2
MAMMALS,Dendrolagus scottae,EN,CR,2007,2008,3,4,-1
MAMMALS,Dorcopsis luctuosa,NT,VU,2007,2008,1,2,-1
MAMMALS,Dorcopsulus vanheurni,NT,NT,2007,2008,1,1,0
MAMMALS,Petaurus abidi,VU,CR,2007,2008,2,4,-2
MAMMALS,Phalanger lullulae,NT,EN,2007,2008,1,3,-2
MAMMALS,Phalanger matanim,EN,CR,2007,2008,3,4,-1
MAMMALS,Spilocuscus kraemeri,NT,NT,2007,2008,1,1,0
MAMMALS,Spilocuscus rufoniger,EN,CR,2007,2008,3,4,-1
MAMMALS,Bettongia penicillata,NT,CR,2007,2008,1,4,-3
MAMMALS,Pseudochirops coronatus,NT,VU,2007,2008,1,2,-1
MAMMALS,Ochotona iliensis,VU,EN,2007,2008,2,3,-1
MAMMALS,Equus hemionus,VU,EN,2007,2008,2,3,-1
MAMMALS,Manis javanica,LR/nt,EN,2007,2008,NA,3,NA
MAMMALS,Manis pentadactyla,LR/nt,EN,2007,2008,NA,3,NA
MAMMALS,Saguinus niger,LC,VU,2007,2008,0,2,-2
MAMMALS,Macaca hecki,LR/nt,VU,2007,2008,NA,2,NA
MAMMALS,Macaca nigra,EN,CR,2007,2008,3,4,-1
MAMMALS,Macaca tonkeana,LR/nt,VU,2007,2008,NA,2,NA
MAMMALS,Presbytis melalophos,LR/nt,EN,2007,2008,NA,3,NA
MAMMALS,Presbytis thomasi,LR/nt,VU,2007,2008,NA,2,NA
MAMMALS,Pygathrix cinerea,EN,CR,2007,2008,3,4,-1
MAMMALS,Trachypithecus obscurus,NT,NT,2007,2008,1,1,0
MAMMALS,Hylobates agilis,LR/nt,EN,2007,2008,NA,3,NA
MAMMALS,Hylobates albibarbis,LR/nt,EN,2007,2008,NA,3,NA
MAMMALS,Hylobates klossii,VU,EN,2007,2008,2,3,-1
MAMMALS,Hylobates lar,LR/nt,EN,2007,2008,NA,3,NA
MAMMALS,Hylobates muelleri,LR/nt,EN,2007,2008,NA,3,NA
MAMMALS,Nomascus concolor,EN,CR,2007,2008,3,4,-1
MAMMALS,Symphalangus syndactylus,LR/nt,EN,2007,2008,NA,3,NA
MAMMALS,Nycticebus coucang,NT,VU,2007,2008,1,2,-1
MAMMALS,Tarsius bancanus,NT,VU,2007,2008,1,2,-1
MAMMALS,Abrothrix illuteus,NT,NT,2007,2008,1,1,0
MAMMALS,Abrothrix sanborni,NT,NT,2007,2008,1,1,0
MAMMALS,Akodon latebricola,NT,VU,2007,2008,1,2,-1
MAMMALS,Akodon surdus,NT,VU,2007,2008,1,2,-1
