"species","common_name","reason_for_change","class","previous_category","current_category","previous_year","current_year"
"Oriolus mellianus","Silver Oriole","G","BIRDS","VU","EN",2012,2013
"Oryzoborus maximiliani","Great-billed Seed-finch","G","BIRDS","NT","VU",2012,2013
"Phalacrocorax capensis","Cape Cormorant","G","BIRDS","NT","EN",2012,2013
"Picoides borealis","Red-cockaded Woodpecker","G","BIRDS","VU","NT",2012,2013
"Polemaetus bellicosus","Martial Eagle","G","BIRDS","NT","VU",2012,2013
"Sarothrura ayresi","White-winged Flufftail","G","BIRDS","EN","CR",2012,2013
"Balebreviceps hillmani","Bale Mountains Treefrog","G","AMPHIBIANS","EN","CR",2012,2013
"Duellmanohyla uranochroa","Costa Rica Brook Frog","G","AMPHIBIANS","CR","EN",2012,2013
"Lithobates vibicarius","Rancho Redondo Frog","G","AMPHIBIANS","CR","VU",2012,2013
"Mannophryne olmonae","Bloody Bay Poison Frog","G","AMPHIBIANS","CR","VU",2012,2013
"Melanophryniscus admirabilis","Red-belly Toad","G","AMPHIBIANS","NT","CR",2012,2013
"Avahi laniger","Eastern Woolly Lemur","G","MAMMALS","LC","VU",2013,2014
"Daubentonia madagascariensis","Aye-aye","G","MAMMALS","NT","EN",2013,2014
"Eulemur albifrons","White-fronted Lemur","G","MAMMALS","VU","EN",2013,2014
"Eulemur cinereiceps","White-collared Lemur","G","MAMMALS","EN","CR",2013,2014
"Eulemur collaris","Collared Brown Lemur","G","MAMMALS","VU","EN",2013,2014
"Eulemur coronatus","Crowned Lemur","G","MAMMALS","VU","EN",2013,2014
"Eulemur mongoz","Mongoose Lemur","G","MAMMALS","VU","CR",2013,2014
"Hapalemur aureus","Golden Bamboo Lemur","G","MAMMALS","EN","CR",2013,2014
"Indri indri","Indri","G","MAMMALS","EN","CR",2013,2014
"Lemur catta","Ring-tailed Lemur","G","MAMMALS","NT","EN",2013,2014
"Lepilemur edwardsi","Milne-Edwards's Sportive Lemur","G","MAMMALS","VU","EN",2013,2014
"Manis crassicaudata","Indian Pangolin","G","MAMMALS","NT","EN",2013,2014
"Accipiter erythrauchen","Rufous-necked Sparrowhawk","G","BIRDS","LC","NT",2013,2014
"Anodorhynchus hyacinthinus","Hyacinth Macaw","G","BIRDS","EN","VU",2013,2014
"Brachyramphus brevirostris","Kittlitz's Murrelet","G","BIRDS","CR","NT",2013,2014
"Didunculus strigirostris","Tooth-billed Pigeon","G","BIRDS","EN","CR",2013,2014
"Eulidia yarrellii","Chilean Woodstar","G","BIRDS","EN","CR",2013,2014
"Falco fasciinucha","Taita Falcon","G","BIRDS","NT","VU",2013,2014
"Falco punctatus","Mauritius Kestrel","G","BIRDS","VU","EN",2013,2014
"Liocichla bugunorum","Bugun Liocichla","G","BIRDS","VU","CR",2013,2014
"Pica nuttalli","Yellow-billed Magpie","G","BIRDS","LC","NT",2013,2014
"Prioniturus luconensis","Green Racquet-tail","G","BIRDS","VU","EN",2013,2014
"Altiphrynoides osgoodi","Osgood's Ethiopian Toad","G","AMPHIBIANS","VU","CR",2013,2014
"Andinobates dorisswansonae","","G","AMPHIBIANS","CR","VU",2013,2014
"Andinobates tolimensis","","G","AMPHIBIANS","EN","VU",2013,2014
"Arctocephalus townsendi","Guadalupe Fur Seal","G","MAMMALS","NT","LC",2014,2015
"Capra falconeri","Markhor","G","MAMMALS","EN","NT",2014,2015
"Caracal aurata","African Golden Cat","G","MAMMALS","NT","VU",2014,2015
"Dendrohyrax validus","Eastern Tree Hyrax","G","MAMMALS","LC","NT",2014,2015
"Fossa fossana","Spotted Fanaloka","G","MAMMALS","NT","VU",2014,2015
"Lynx pardinus","Iberian Lynx","G","MAMMALS","CR","EN",2014,2015
"Mungotictis decemlineata","Bokiboky","G","MAMMALS","VU","EN",2014,2015
"Phocarctos hookeri","New Zealand Sea Lion","G","MAMMALS","VU","EN",2014,2015
"Acrocephalus sechellensis","Seychelles Warbler","G","BIRDS","VU","NT",2014,2015
"Alca torda","Razorbill","G","BIRDS","LC","NT",2014,2015
"Amytornis dorotheae","Carpentarian Grasswren","G","BIRDS","NT","VU",2014,2015
"Anas chlorotis","Brown Teal","G","BIRDS","EN","NT",2014,2015
"Anthus pratensis","Meadow Pipit","G","BIRDS","LC","NT",2014,2015
"Aquila nipalensis","Steppe Eagle","G","BIRDS","LC","EN",2014,2015
"Calidris canutus","Red Knot","G","BIRDS","LC","NT",2014,2015
"Calidris ferruginea","Curlew Sandpiper","G","BIRDS","LC","NT",2014,2015
"Calidris ruficollis","Red-necked Stint","G","BIRDS","LC","NT",2014,2015
"Calidris tenuirostris","Great Knot","G","BIRDS","VU","EN",2014,2015
"Camarhynchus pallidus","Woodpecker Finch","G","BIRDS","LC","VU",2014,2015
"Camarhynchus psittacula","Large Tree-finch","G","BIRDS","LC","VU",2014,2015
"Fratercula arctica","Atlantic Puffin","G","BIRDS","LC","VU",2014,2015
"Gyps africanus","White-backed Vulture","G","BIRDS","EN","CR",2014,2015
"Gyps coprotheres","Cape Vulture","G","BIRDS","VU","EN",2014,2015
"Gyps rueppelli","Rüppell's Vulture","G","BIRDS","EN","CR",2014,2015
"Larus audouinii","Audouin's Gull","G","BIRDS","NT","LC",2014,2015
"Lathamus discolor","Swift Parrot","G","BIRDS","EN","CR",2014,2015
"Limosa lapponica","Bar-tailed Godwit","G","BIRDS","LC","NT",2014,2015
"Melanitta fusca","Velvet Scoter","G","BIRDS","EN","VU",2014,2015
"Necrosyrtes monachus","Hooded Vulture","G","BIRDS","EN","CR",2014,2015
"Numenius madagascariensis","Far Eastern Curlew","G","BIRDS","VU","EN",2014,2015
"Pterodroma axillaris","Chatham Petrel","G","BIRDS","EN","VU",2014,2015
"Rhinoplax vigil","Helmeted Hornbill","G","BIRDS","NT","CR",2014,2015
"Torgos tracheliotos","Lappet-faced Vulture","G","BIRDS","VU","EN",2014,2015
"Trigonoceps occipitalis","White-headed Vulture","G","BIRDS","VU","CR",2014,2015
"Leiopelma hamiltoni","Hamilton's Frog","G","AMPHIBIANS","EN","VU",2014,2015
"Rhinella atacamensis","Atacama Toad","G","AMPHIBIANS","LC","VU",2014,2015
"Ailuropoda melanoleuca","Giant Panda","G","MAMMALS","EN","VU",2015,2016
"Antechinus bellus","Fawn Antechinus","G","MAMMALS","LC","VU",2015,2016
"Cephalophus dorsalis","Bay Duiker","G","MAMMALS","LC","NT",2015,2016
"Cephalophus leucogaster","White-bellied Duiker","G","MAMMALS","LC","NT",2015,2016
"Cephalophus silvicultor","Yellow-backed Duiker","G","MAMMALS","LC","NT",2015,2016
"Conilurus penicillatus","Brush-tailed Rabbit-rat","G","MAMMALS","NT","VU",2015,2016
"Dasyurus viverrinus","Eastern Quoll","G","MAMMALS","NT","EN",2015,2016
"Dendrolagus spadix","Lowlands Tree Kangaroo","G","MAMMALS","LC","VU",2015,2016
"Desmana moschata","Russian Desman","G","MAMMALS","VU","EN",2015,2016
"Equus quagga","Plains Zebra","G","MAMMALS","LC","NT",2015,2016
"Eupleres goudotii","Eastern Falanouc","G","MAMMALS","EN","VU",2015,2016
"Galidictis fasciata","Broad-striped Vontsira","G","MAMMALS","NT","VU",2015,2016
"Giraffa camelopardalis","Giraffe","G","MAMMALS","LC","VU",2015,2016
"Gorilla beringei","Eastern Gorilla","G","MAMMALS","EN","CR",2015,2016
"Gymnobelideus leadbeateri","Leadbeater's Possum","G","MAMMALS","EN","CR",2015,2016
"Hipposideros hypophyllus","Kolar Leaf-nosed Bat","G","MAMMALS","EN","CR",2015,2016
"Leporillus conditor","Greater Stick-nest Rat","G","MAMMALS","VU","NT",2015,2016
"Melomys rubicola","Bramble Cay Melomys","G","MAMMALS","CR","EX",2015,2016
"Mesembriomys gouldii","Black-footed Tree-rat","G","MAMMALS","NT","VU",2015,2016
"Muntiacus atherodes","Bornean Yellow Muntjac","G","MAMMALS","LC","NT",2015,2016
"Muntiacus vuquangensis","Large-antlered Muntjac","G","MAMMALS","EN","CR",2015,2016
"Notomys cervinus","Fawn Hopping-mouse","G","MAMMALS","VU","NT",2015,2016
"Nyctalus lasiopterus","Giant Noctule","G","MAMMALS","NT","VU",2015,2016
"Onychogalea fraenata","Bridled Nailtail Wallaby","G","MAMMALS","EN","VU",2015,2016
"Ornithorhynchus anatinus","Platypus","G","MAMMALS","LC","NT",2015,2016
"Pantholops hodgsonii","Tibetan Antelope","G","MAMMALS","EN","NT",2015,2016
"Perameles gunnii","Eastern Barred Bandicoot","G","MAMMALS","NT","VU",2015,2016
"Petauroides volans","Greater Glider","G","MAMMALS","LC","VU",2015,2016
"Petaurus australis","Yellow-bellied Glider","G","MAMMALS","LC","NT",2015,2016
"Petrogale godmani","Godman's Rock Wallaby","G","MAMMALS","LC","NT",2015,2016
"Petrogale lateralis","Black-footed Rock Wallaby","G","MAMMALS","NT","VU",2015,2016
"Petrogale mareeba","Mareeba Rock Wallaby","G","MAMMALS","LC","NT",2015,2016
"Petrogale purpureicollis","Purple-necked Rock Wallaby","G","MAMMALS","LC","NT",2015,2016
"Phascolarctos cinereus","Koala","G","MAMMALS","LC","VU",2015,2016
"Pongo pygmaeus","Bornean Orangutan","G","MAMMALS","EN","CR",2015,2016
"Pteropus caniceps","North Moluccan Flying Fox","G","MAMMALS","NT","VU",2015,2016
"Pteropus livingstonii","Livingstone's Flying Fox","G","MAMMALS","EN","CR",2015,2016
"Thylamys fenestrae"," ","G","MAMMALS","LC","NT",2015,2016
"Thylamys velutinus","Dwarf Fat-tailed Mouse Opossum","G","MAMMALS","LC","NT",2015,2016
"Charadrius sanctaehelenae","St Helena Plover","G","BIRDS","CR","VU",2015,2016
"Chloropsis sonnerati","Greater Green Leafbird","G","BIRDS","LC","VU",2015,2016
"Cyanoramphus forbesi","Chatham Parakeet","G","BIRDS","EN","VU",2015,2016
"Emberiza rustica","Rustic Bunting","G","BIRDS","LC","VU",2015,2016
"Garrulax bicolor","Black-and-white Laughingthrush","G","BIRDS","VU","EN",2015,2016
"Garrulax rufifrons","Rufous-fronted Laughingthrush","G","BIRDS","EN","CR",2015,2016
"Hydrobates leucorhous","Leach's Storm-petrel","G","BIRDS","LC","VU",2015,2016
"Icterus oberi","Montserrat Oriole","G","BIRDS","CR","VU",2015,2016
"Pycnonotus zeylanicus","Straw-headed Bulbul","G","BIRDS","VU","EN",2015,2016
"Pygoscelis adeliae","Adélie Penguin","G","BIRDS","NT","LC",2015,2016
"Pygoscelis papua","Gentoo Penguin","G","BIRDS","NT","LC",2015,2016
"Pyrrhula murina","Azores Bullfinch","G","BIRDS","EN","VU",2015,2016
"Sternula balaenarum","Damara Tern","G","BIRDS","NT","VU",2015,2016
"Terenura sicki","Orange-bellied Antwren","G","BIRDS","EN","CR",2015,2016
"Zosterops flavus","Javan White-eye","G","BIRDS","NT","VU",2015,2016
"Zosterops modestus","Seychelles White-eye","G","BIRDS","EN","VU",2015,2016
"Aotus nancymaae","Nancy Ma’s Night Monkey","G","MAMMALS","LC","VU",2016,2017
