"species","common_name","reason_for_change","class","previous_category","current_category","previous_year","current_year"
"Coelops robinsoni","Malayan Tailless Leaf-nosed Bat","G","MAMMALS","LR/nt","VU",2007,2008
"Tadarida johorensis","Northern Free-tailed Bat","G","MAMMALS","LR/nt","VU",2007,2008
"Tadarida mops","Malayan Free-tailed Bat","G","MAMMALS","LR/lc","NT",2007,2008
"Nycteris tragata","Malayan Slit-faced Bat","G","MAMMALS","LR/lc","NT",2007,2008
"Lonchorhina fernandezi","Fernandez's Sword-Nosed Bat","G","MAMMALS","VU","EN",2007,2008
"Lonchorhina orinocensis","Orinoco Sword-Nosed Bat","G","MAMMALS","LR/nt","VU",2007,2008
"Platyrrhinus chocoensis","Choco Broad-Nosed Bat","G","MAMMALS","VU","EN",2007,2008
"Acerodon mackloti","Sunda Fruit Bat","G","MAMMALS","LR/lc","VU",2007,2008
"Eidolon helvum","Straw-Coloured Fruit Bat","G","MAMMALS","LC","NT",2007,2008
"Megaerops wetmorei","White-collared Fruit Bat","G","MAMMALS","LR/lc","VU",2007,2008
"Pteropus caniceps","North Moluccan Flying Fox","G","MAMMALS","LR/lc","NT",2007,2008
"Pteropus lylei","Lyle's Flying Fox","G","MAMMALS","LR/lc","VU",2007,2008
"Pteropus melanopogon","Black-bearded Flying Fox","G","MAMMALS","LR/lc","EN",2007,2008
"Pteropus niger","Mauritan Flying Fox","G","MAMMALS","VU","EN",2007,2008
"Pteropus temminckii","Temminck's Flying Fox","G","MAMMALS","LR/nt","VU",2007,2008
"Pteropus vampyrus","Large Flying-fox","G","MAMMALS","LR/lc","NT",2007,2008
"Pteropus woodfordi","Dwarf Flying Fox","G","MAMMALS","LR/lc","VU",2007,2008
"Rousettus bidens","Manado Rousette","G","MAMMALS","LR/nt","VU",2007,2008
"Styloctenium wallacei","Stripe-faced Fruit Bat","G","MAMMALS","LR/nt","VU",2007,2008
"Rhinolophus cognatus","Andaman Horseshoe Bat","G","MAMMALS","VU","EN",2007,2008
"Rhinolophus sedulus","Lesser Wooly Horseshoe Bat","G","MAMMALS","LR/lc","NT",2007,2008
"Corynorhinus mexicanus","Mexican Big-eared Bat","G","MAMMALS","LR/lc","NT",2007,2008
"Hesperoptenus tomesi","Large False Serotine","G","MAMMALS","LR/lc","VU",2007,2008
"Kerivoula pellucida","Clear-winged Woolly Bat","G","MAMMALS","LR/lc","NT",2007,2008
"Murina aenea","Bronze Tube-nosed Bat","G","MAMMALS","LR/nt","VU",2007,2008
"Murina rozendaali","Gilded Tube-nosed Bat","G","MAMMALS","LR/nt","VU",2007,2008
"Phoniscus atrox","Groove-toothed Trumpet-eared Bat","G","MAMMALS","LR/lc","NT",2007,2008
"Rhogeessa minutilla","Tiny Yellow Bat","G","MAMMALS","LR/nt","VU",2007,2008
"Dasyurus hallucatus","Northern Quoll","G","MAMMALS","LR/nt","EN",2007,2008
"Pseudantechinus bilarni","Sandstone Pseudantechinus","G","MAMMALS","LR/lc","NT",2007,2008
"Sarcophilus harrisii","Tasmanian Devil","G","MAMMALS","LR/lc","EN",2007,2008
"Myrmecobius fasciatus","Numbat","G","MAMMALS","VU","EN",2007,2008
"Burramys parvus","Mountain Pygmy Possum","G","MAMMALS","EN","CR",2007,2008
"Dendrolagus mbaiso","Dingiso","G","MAMMALS","VU","CR",2007,2008
"Dendrolagus scottae","Tenkile","G","MAMMALS","EN","CR",2007,2008
"Dorcopsis luctuosa","Grey Dorcopsis","G","MAMMALS","LR/lc","VU",2007,2008
"Dorcopsulus vanheurni","Small Dorcopsis","G","MAMMALS","LR/lc","NT",2007,2008
"Petaurus abidi","Northern Glider","G","MAMMALS","VU","CR",2007,2008
"Phalanger lullulae","Woodlark Cuscus","G","MAMMALS","LR/lc","EN",2007,2008
"Phalanger matanim","Telefomin Cuscus","G","MAMMALS","EN","CR",2007,2008
"Spilocuscus kraemeri","Admiralty Cuscus","G","MAMMALS","LR/lc","NT",2007,2008
"Spilocuscus rufoniger","Black-spotted Cuscus","G","MAMMALS","EN","CR",2007,2008
"Bettongia penicillata","Woylie","G","MAMMALS","LR/cd","CR",2007,2008
"Pseudochirops coronatus","Reclusive Ringtail","G","MAMMALS","LR/lc","VU",2007,2008
"Ochotona iliensis","Ili Pika","G","MAMMALS","VU","EN",2007,2008
"Equus hemionus","Asiatic Wild Ass","G","MAMMALS","VU","EN",2007,2008
"Manis javanica","Sunda Pangolin","G","MAMMALS","LR/nt","EN",2007,2008
"Manis pentadactyla","Chinese Pangolin","G","MAMMALS","LR/nt","EN",2007,2008
"Saguinus niger","Black-handed Tamarin","G","MAMMALS","LC","VU",2007,2008
"Macaca hecki","Heck's Macaque","G","MAMMALS","LR/nt","VU",2007,2008
"Macaca nigra","Celebes Crested Macaque","G","MAMMALS","EN","CR",2007,2008
"Macaca tonkeana","Tonkean Macaque","G","MAMMALS","LR/nt","VU",2007,2008
"Presbytis melalophos","Sumatran Surili","G","MAMMALS","LR/nt","EN",2007,2008
"Presbytis thomasi","Thomas’s Langur","G","MAMMALS","LR/nt","VU",2007,2008
"Pygathrix cinerea","Grey-shanked Douc Langur","G","MAMMALS","EN","CR",2007,2008
"Trachypithecus obscurus","Dusky Leaf-monkey","G","MAMMALS","LR/lc","NT",2007,2008
"Hylobates agilis","Agile Gibbon","G","MAMMALS","LR/nt","EN",2007,2008
"Hylobates albibarbis","Bornean White-bearded Gibbon","G","MAMMALS","LR/nt","EN",2007,2008
"Hylobates klossii","Kloss’s Gibbon","G","MAMMALS","VU","EN",2007,2008
"Hylobates lar","Lar Gibbon","G","MAMMALS","LR/nt","EN",2007,2008
"Hylobates muelleri","Müller's Bornean Gibbon","G","MAMMALS","LR/nt","EN",2007,2008
"Nomascus concolor","Black Crested Gibbon","G","MAMMALS","EN","CR",2007,2008
"Symphalangus syndactylus","Siamang","G","MAMMALS","LR/nt","EN",2007,2008
"Nycticebus coucang","Greater Slow Loris","G","MAMMALS","LR/lc","VU",2007,2008
"Tarsius bancanus","Horsfield’s Tarsier","G","MAMMALS","LR/lc","VU",2007,2008
"Abrothrix illuteus","Gray Grass Mouse","G","MAMMALS","LR/lc","NT",2007,2008
"Abrothrix sanborni","Sanborn's Grass Mouse","G","MAMMALS","LR/lc","NT",2007,2008
"Akodon latebricola","Ecuadorean Grass Mouse","G","MAMMALS","LR/lc","VU",2007,2008
"Akodon surdus","Silent Grass Mouse","G","MAMMALS","LR/lc","VU",2007,2008
"Arborimus longicaudus","Red Tree Vole","G","MAMMALS","LR/lc","NT",2007,2008
"Arvicola sapidus","Southern Water Vole","G","MAMMALS","LR/nt","VU",2007,2008
"Calomys hummelincki","Hummelinck's Vesper Mouse","G","MAMMALS","LR/lc","VU",2007,2008
"Mesocricetus brandti","Brandt's Hamster","G","MAMMALS","LR/lc","NT",2007,2008
"Microtus oaxacensis","Tarabundi Vole","G","MAMMALS","LR/nt","EN",2007,2008
"Microtus quasiater","Japalapan Pine Vole","G","MAMMALS","LR/lc","NT",2007,2008
"Microtus umbrosus","Zepoal Tepec Vole","G","MAMMALS","LR/lc","EN",2007,2008
"Neotoma palatina","Bolano's Woodrat","G","MAMMALS","LR/nt","VU",2007,2008
"Reithrodontomys microdon","Small-toothed Harvest Mouse","G","MAMMALS","LR/nt","VU",2007,2008
"Reithrodontomys spectabilis","Cozumel Harvest Mouse","G","MAMMALS","EN","CR",2007,2008
"Sigmodon alleni","Allen's Cotton Rat","G","MAMMALS","LR/lc","VU",2007,2008
"Thomasomys hylophilus","Woodland Oldfield Mouse","G","MAMMALS","LR/lc","EN",2007,2008
"Wilfredomys oenax","Greater Wilfred's Mouse","G","MAMMALS","LR/lc","EN",2007,2008
"Xenomys nelsoni","Magedelena Wood Rat","G","MAMMALS","LR/nt","EN",2007,2008
"Ctenomys australis","Southern Tuco-tuco","G","MAMMALS","LR/lc","EN",2007,2008
"Allactaga vinogradovi","Vinogradov's Jerboa","G","MAMMALS","LR/lc","NT",2007,2008
"Pappogeomys alcorni","Alcorn's Pocket Gopher","G","MAMMALS","VU","CR",2007,2008
"Chaetodipus goldmani","Goldman's Pocket Mouse","G","MAMMALS","LR/lc","VU",2007,2008
"Dipodomys nitratoides","Fresno Kangaroo Rat","G","MAMMALS","LR/nt","VU",2007,2008
"Gerbillus gleadowi","Little Hairy-footed Gerbil","G","MAMMALS","LR/lc","NT",2007,2008
"Maxomys rajah","Rajah Sundaic Maxomys","G","MAMMALS","LR/lc","VU",2007,2008
"Maxomys whiteheadi","Whitehead’s Sundaic Maxomys","G","MAMMALS","LR/lc","VU",2007,2008
"Nesokia bunnii","Bunn's Short-Tailed Bandicoot Rat","G","MAMMALS","LR/nt","EN",2007,2008
"Niviventer cremoriventer","Sundaic Arboreal Niviventer","G","MAMMALS","LR/lc","VU",2007,2008
"Pseudomys fumeus","Smoky Mouse","G","MAMMALS","VU","EN",2007,2008
"Pseudomys novaehollandiae","New Holland Mouse","G","MAMMALS","LR/lc","VU",2007,2008
"Rattus richardsoni","Glacier Rat","G","MAMMALS","LR/lc","VU",2007,2008
"Solomys ponceleti","Poncelet's Giant Rat","G","MAMMALS","EN","CR",2007,2008
"Solomys salebrosus","Bougainville Giant Rat","G","MAMMALS","LR/nt","EN",2007,2008
"Solomys sapientis","Isabel Giant Rat","G","MAMMALS","VU","EN",2007,2008
"Uromys neobritannicus","Bismarck Giant Rat","G","MAMMALS","LR/lc","EN",2007,2008
"Zyzomys maini","Arnhem Land Rock Rat","G","MAMMALS","LR/lc","NT",2007,2008
"Octodon bridgesi","Bridges's Degu","G","MAMMALS","LR/lc","VU",2007,2008
"Octodon pacificus","","G","MAMMALS","VU","CR",2007,2008
"Callosciurus adamsi","Ear-spot Squirrel","G","MAMMALS","LR/lc","VU",2007,2008
"Callosciurus melanogaster","Mentawai Squirrel","G","MAMMALS","LR/lc","VU",2007,2008
"Marmota sibirica","Mongolian marmot","G","MAMMALS","LR/lc","EN",2007,2008
"Marmota vancouverensis","Vancouver Island Marmot","G","MAMMALS","EN","CR",2007,2008
"Petaurista nobilis","Bhutan Giant Flying Squirrel","G","MAMMALS","LR/nt","VU",2007,2008
"Petinomys genibarbis","Whiskered Flying Squirrel","G","MAMMALS","LR/lc","VU",2007,2008
"Petinomys lugens","Siberut Flying Squirrel","G","MAMMALS","LR/nt","EN",2007,2008
"Petinomys setosus","Temminck's Flying Squirrel","G","MAMMALS","LR/lc","VU",2007,2008
"Petinomys vordermanni","Vordermann's Flying Squirrel","G","MAMMALS","LR/lc","VU",2007,2008
"Pteromyscus pulverulentus","Smoky Flying Squirrel","G","MAMMALS","LR/nt","EN",2007,2008
"Ratufa bicolor","Black Giant Squirrel","G","MAMMALS","LR/lc","NT",2007,2008
"Rhinosciurus laticaudatus","Shrew-faced Squirrel","G","MAMMALS","LR/lc","NT",2007,2008
"Rubrisciurus rubriventer","Sulawesi Giant Squirrel","G","MAMMALS","LR/lc","VU",2007,2008
"Spermophilus perotensis","Perote Ground Squirrel","G","MAMMALS","LR/nt","EN",2007,2008
"Spermophilus xanthoprymnus","Asia Minor Ground Squirrel","G","MAMMALS","LR/lc","NT",2007,2008
"Spalax arenarius","Sandy Mole Rate","G","MAMMALS","VU","EN",2007,2008
"Spalax zemni","Podolian Mole Rat","G","MAMMALS","LR/lc","VU",2007,2008
"Ducula galeata","Marquesan Imperial-pigeon","G","BIRDS","CR","EN",2007,2008
"Apteryx owenii","Little Spotted Kiwi","G","BIRDS","VU","NT",2007,2008
"Aythya baeri","Baer's Pochard","G","BIRDS","VU","EN",2007,2008
"Sterna nereis","Fairy Tern","G","BIRDS","LC","VU",2007,2008
"Eurynorhynchus pygmeus","Spoon-billed Sandpiper","G","BIRDS","EN","CR",2007,2008
"Numenius arquata","Eurasian Curlew","G","BIRDS","LC","NT",2007,2008
"Ducula finschii","Finsch's Imperial-pigeon","G","BIRDS","LC","NT",2007,2008
"Ducula rubricera","Red-knobbed Imperial-pigeon","G","BIRDS","LC","NT",2007,2008
"Reinwardtoena browni","Pied Cuckoo-dove","G","BIRDS","LC","NT",2007,2008
"Centropus violaceus","Violaceous Coucal","G","BIRDS","LC","NT",2007,2008
"Accipiter princeps","New Britain Goshawk","G","BIRDS","NT","VU",2007,2008
"Pauxi pauxi","Helmeted Curassow","G","BIRDS","VU","EN",2007,2008
"Tetrao mlokosiewiczi","Caucasian Grouse","G","BIRDS","DD","NT",2007,2008
"Atrichornis rufescens","Rufous Scrub-bird","G","BIRDS","NT","VU",2007,2008
"Coracina newtoni","Réunion Cuckooshrike","G","BIRDS","EN","CR",2007,2008
"Corvus kubaryi","Mariana Crow","G","BIRDS","EN","CR",2007,2008
"Loxops caeruleirostris","Akekee","G","BIRDS","EN","CR",2007,2008
"Stipiturus mallee","Mallee Emuwren","G","BIRDS","VU","EN",2007,2008
"Melidectes whitemanensis","Bismarck Melidectes","G","BIRDS","LC","NT",2007,2008
"Mimus trifasciatus","Floreana Mockingbird","G","BIRDS","EN","CR",2007,2008
"Megalurulus grosvenori","Bismarck Thicketbird","G","BIRDS","DD","VU",2007,2008
"Sylvia undata","Dartford Warbler","G","BIRDS","LC","NT",2007,2008
"Diomedea dabbenena","Tristan Albatross","G","BIRDS","EN","CR",2007,2008
"Cacatua ophthalmica","Blue-eyed Cockatoo","G","BIRDS","LC","VU",2007,2008
"Ninox odiosa","Russet Hawk-owl","G","BIRDS","LC","VU",2007,2008
"Tyto aurantia","Bismarck Masked-owl","G","BIRDS","DD","VU",2007,2008
"Thorius macdougalli","","G","AMPHIBIANS","EN","VU",2007,2008
"Incilius holdridgei","","G","AMPHIBIANS","CR","EX",2007,2008
"Centrolene buckleyi","","G","AMPHIBIANS","NT","VU",2007,2008
"Craugastor escoces","","G","AMPHIBIANS","CR","EX",2007,2008
"Parvimolge townsendi","","G","AMPHIBIANS","EN","CR",2007,2008
"Pseudoeurycea gigantea","","G","AMPHIBIANS","EN","CR",2007,2008
"Pseudoeurycea juarezi","","G","AMPHIBIANS","EN","CR",2007,2008
"Thorius munificus","","G","AMPHIBIANS","EN","CR",2007,2008
"Acrocephalus luscinius","Nightingale Reed-warbler ","G","BIRDS","EN","CR",2008,2009
"Anodorhynchus leari","Lear's Macaw","G","BIRDS","CR","EN",2008,2009
"Balearica regulorum","Grey Crowned-crane","G","BIRDS","LC","VU",2008,2009
"Foudia rubra","Mauritius Fody ","G","BIRDS","CR","EN",2008,2009
"Grantiella picta","Painted Honeyeater","G","BIRDS","NT","VU",2008,2009
