consAction,coef,lower,upper,l10,u90,loc
national,3.16,0.69,7.12,1.45,5.51,gold
harvest,0.56,-1.96,2.95,-1.04,2.1,gray
education,-0.35,-3.31,2.44,-2.21,1.45,gray
international,1.08,-1.77,4.68,-0.81,3.28,gray
prey,2.35,-0.54,6.12,0.41,4.66,gray
accidental,-1,-3.47,1.4,-2.58,0.54,gray
captive,-1.56,-4.4,0.95,-3.34,0.08,gray
