"","cf_impr","2.5 %","97.5 %","10 %","90 %"
"(Intercept)",-4.53994822663924,-6.4906102832842,-3.23917618604852,-5.71469451041019,-3.63765634829766
"InterLegisYes",2.53336176577362,0.123490676623399,5.65980431532037,0.839212404247527,4.55469880529756
"HarvestYes",1.20144602353045,-0.411527229386005,2.57210147641277,0.1931516956094,2.10912412267783
"ExSituYes",-1.82348698096423,-4.86784585271292,0.135158205265786,-3.5972727032984,-0.486626954352407
"RecoveryPlanYes",1.00226816355104,-0.594945919491399,2.52507929193423,-0.0230113654021694,1.99717732354272
"MonitoringYes",0.945841032353379,-0.66266112986031,2.54313532921972,-0.0953856361092559,1.98242737718344
"InterTradeYes",-0.784944815873446,-3.5869928916092,2.02238445343898,-2.65123481665616,1.06883955249974
"ProtectedAreasYes",-0.802296995679923,-2.3143880515048,0.592149837051548,-1.76802595527727,0.111778678680067
