"","Binomial","Common","Status","Trend","System","Taxon","combo","Delta_Status","Status_Impr","source_2019","source.count","source.freq","Threatened"
"110","Alopias superciliosus","Bigeye Thresher Shark","VU","Decreasing","Marine","Elasmo","5.4.4 ",0,"Unchanged","Bycatch",140,11.965811965812,"Y"
"111","Tetrapturus pfluegeri","Longbill Spearfish","LC","Stable","Marine","Bony","5.4.4 2.1",0,"Unchanged","Bycatch",140,11.965811965812,"N"
"112","Kajikia audax","Striped Marlin","NT","Decreasing","Marine","Bony","5.4.4 2.1",0,"Unchanged","Bycatch",140,11.965811965812,"N"
"113","Makaira nigricans","Blue Marlin","VU","Decreasing","Marine","Bony","5.4.4 2.1",0,"Unchanged","Bycatch",140,11.965811965812,"Y"
"114","Scomberomorus commerson","Narrow-barred Spanish Mackerel","NT","Decreasing","Marine","Bony","5.4.4 2.1",0,"Unchanged","Bycatch",140,11.965811965812,"N"
"115","Kajikia albida","White Marlin","VU","Decreasing","Marine","Bony","5.4.4 2.1",0,"Unchanged","Bycatch",140,11.965811965812,"Y"
"116","Acanthocybium solandri","Wahoo","LC","Stable","Marine","Bony","5.4.4 ",0,"Unchanged","Bycatch",140,11.965811965812,"N"
"117","Tetrapturus belone","Mediterranean Shortbill Spearfish","LC","Stable","Marine","Bony","5.4.4 2.1",0,"Unchanged","Bycatch",140,11.965811965812,"N"
"118","Istiophorus platypterus","Sailfish","LC","U","Marine","Bony","5.4.4 2.1",0,"Unchanged","Bycatch",140,11.965811965812,"N"
"119","Hucho taimen","Siberian Taimen","VU","Decreasing","Freshwater","Bony","5.4.4 ",0,"Unchanged","Bycatch",140,11.965811965812,"Y"
"120","Ruvettus pretiosus","Oilfish","LC","Stable","Marine","Bony","5.4.4 ",0,"Unchanged","Bycatch",140,11.965811965812,"N"
"121","Megalops atlanticus","Tarpon","VU","Decreasing","Marine","Bony","5.4.4 2.2",0,"Unchanged","Bycatch",140,11.965811965812,"Y"
"122","Seriola lalandi","Yellowtail Amberjack","LC","Stable","Marine","Bony","5.4.4 ",0,"Unchanged","Bycatch",140,11.965811965812,"N"
"123","Haliaeetus leucoryphus","Pallas's Fish-eagle","EN","Decreasing","Freshwater,Terrestrial","Birds","5.4.4 1.3",0,"Unchanged","Fishing",148,12.6495726495726,"Y"
"124","Haliaeetus pelagicus","Steller's Sea-eagle","VU","Decreasing","Marine,Freshwater,Terrestrial","Birds","5.4.4 1.2",0,"Unchanged","Fishing",148,12.6495726495726,"Y"
"125","Sousa chinensis","Indo-Pacific Humpbacked Dolphin","VU","Decreasing","Marine,Freshwater","MarineMam","5.4.4 2.1",0,"Unchanged","Bycatch",140,11.965811965812,"Y"
"126","Arctocephalus australis","South American Fur Seal","LC","Increasing","Marine,Terrestrial","MarineMam","11.1 1.1",0,"Unchanged","Climate Change",67,5.72649572649573,"N"
"127","Arctocephalus galapagoensis","Galapagos Fur Seal","EN","Decreasing","Marine,Terrestrial","MarineMam","11.1 1.2",-1,"Declined","Climate Change",67,5.72649572649573,"Y"
"128","Arctocephalus philippii","Juan Fernández Fur Seal","LC","Increasing","Marine,Terrestrial","MarineMam","11.1 1.1",1,"Improved","Climate Change",67,5.72649572649573,"N"
"129","Arctocephalus pusillus","Afro-Australian Fur Seal","LC","Increasing","Marine,Terrestrial","MarineMam","11.1 1.1",0,"Unchanged","Climate Change",67,5.72649572649573,"N"
"130","Balaenoptera acutorostrata","Common Minke Whale","LC","U","Marine","MarineMam","11.1 1.1",0,"Unchanged","Climate Change",67,5.72649572649573,"N"
