"","Binomial","Common","Status","Trend","System","Taxon","combo","Delta_Status","Status_Impr","source_2019","source.count","source.freq","Threatened"
"242","Hyporthodus ergastularius","Sevenbar Grouper","NT","Decreasing","Marine","Bony","5.4.2 2.1",-1,"Declined","Fishing",148,12.6495726495726,"N"
"243","Hyporthodus mystacinus","Misty Grouper","LC","U","Marine","Bony","5.4.2 2.1",0,"Unchanged","Fishing",148,12.6495726495726,"N"
"244","Sciades parkeri","Gillbacker Sea Catfish","VU","Decreasing","Marine,Freshwater","Bony","5.4.2 2.1",0,"Unchanged","Fishing",148,12.6495726495726,"Y"
"245","Carcharhinus albimarginatus","Silvertip Shark","VU","Decreasing","Marine","Elasmo","5.4.2 2.1",0,"Unchanged","Fishing",148,12.6495726495726,"Y"
"246","Brachyplatystoma rousseauxii","Gilded Catfish","LC","U","Freshwater","Bony","5.4.2 2.1",0,"Unchanged","Fishing",148,12.6495726495726,"N"
"247","Petrus rupestris","Red Steenbras","EN","Decreasing","Marine","Bony","5.4.2 2.1",0,"Unchanged","Fishing",148,12.6495726495726,"Y"
"248","Tetrapturus pfluegeri","Longbill Spearfish","LC","Stable","Marine","Bony","5.4.2 2.1",0,"Unchanged","Fishing",148,12.6495726495726,"N"
"249","Kajikia audax","Striped Marlin","NT","Decreasing","Marine","Bony","5.4.2 2.1",0,"Unchanged","Fishing",148,12.6495726495726,"N"
"250","Makaira nigricans","Blue Marlin","VU","Decreasing","Marine","Bony","5.4.2 2.1",0,"Unchanged","Fishing",148,12.6495726495726,"Y"
"251","Scomberomorus commerson","Narrow-barred Spanish Mackerel","NT","Decreasing","Marine","Bony","5.4.2 2.1",0,"Unchanged","Fishing",148,12.6495726495726,"N"
"252","Kajikia albida","White Marlin","VU","Decreasing","Marine","Bony","5.4.2 2.1",0,"Unchanged","Fishing",148,12.6495726495726,"Y"
"253","Istiophorus platypterus","Sailfish","LC","U","Marine","Bony","5.4.2 2.1",0,"Unchanged","Fishing",148,12.6495726495726,"N"
"254","Thunnus orientalis","Pacific Bluefin Tuna","VU","Decreasing","Marine","Bony","5.4.2 2.1",0,"Unchanged","Fishing",148,12.6495726495726,"Y"
"255","Lates niloticus","Nile Perch","LC","U","Freshwater","Bony","5.4.2 2.1",0,"Unchanged","Fishing",148,12.6495726495726,"N"
"256","Bagrus docmak","Sudan Catfish","LC","U","Freshwater","Bony","5.4.2 2.1",0,"Unchanged","Fishing",148,12.6495726495726,"N"
"257","Morone saxatilis","Striped Bass","LC","U","Marine,Freshwater","Bony","5.4.2 ",0,"Unchanged","Fishing",148,12.6495726495726,"N"
"258","Seriola lalandi","Yellowtail Amberjack","LC","Stable","Marine","Bony","5.4.2 ",0,"Unchanged","Fishing",148,12.6495726495726,"N"
"259","Epinephelus itajara","Atlantic Goliath Grouper","VU","Decreasing","Marine","Bony","5.4.2 2.1",0,"Unchanged","Fishing",148,12.6495726495726,"Y"
"260","Lichia amia","Leerfish","LC","U","Marine","Bony","5.4.2 2.1",0,"Unchanged","Fishing",148,12.6495726495726,"N"
"261","Seriola dumerili","Greater Amberjack","LC","U","Marine","Bony","5.4.2 2.1",0,"Unchanged","Fishing",148,12.6495726495726,"N"
"262","Argyrosomus regius","Meagre","LC","U","Marine","Bony","5.4.2 ",0,"Unchanged","Fishing",148,12.6495726495726,"N"
"263","Caranx ignobilis","Giant Trevally","LC","U","Marine","Bony","5.4.2 2.1",0,"Unchanged","Fishing",148,12.6495726495726,"N"
"264","Aaptosyax grypus","Mekong Giant Salmon Carp","CR","Decreasing","Freshwater","Bony","5.4.1 2.1",0,"Unchanged","Fishing",148,12.6495726495726,"Y"
"265","Carcharhinus plumbeus","Sandbar Shark","VU","Decreasing","Marine","Elasmo","5.4.1 ",0,"Unchanged","Fishing",148,12.6495726495726,"Y"
"266","Carcharodon carcharias","Great White Shark","VU","U","Marine","Elasmo","5.4.1 ",0,"Unchanged","Fishing",148,12.6495726495726,"Y"
"267","Mecistops cataphractus","Slender-snouted Crocodile","CR","Decreasing","Freshwater,Terrestrial","ReptAmph","5.4.1 2.1",0,"Unchanged","Fishing",148,12.6495726495726,"Y"
"268","Crocodylus intermedius","Orinoco Crocodile","CR","Decreasing","Freshwater,Terrestrial","ReptAmph","5.4.1 2.1",0,"Unchanged","Fishing",148,12.6495726495726,"Y"
"269","Crocodylus rhombifer","Cuban Crocodile","CR","U","Freshwater,Terrestrial","ReptAmph","5.4.1 2.1",-1,"Declined","Fishing",148,12.6495726495726,"Y"
"270","Delphinapterus leucas","Beluga","LC","U","Marine","MarineMam","5.4.1 ",0,"Unchanged","Fishing",148,12.6495726495726,"N"
"271","Eumetopias jubatus","Steller Sea Lion","NT","Increasing","Marine,Terrestrial","MarineMam","5.4.1 1.2",2,"Improved","Fishing",148,12.6495726495726,"N"
"272","Feresa attenuata","Pygmy killer whale","LC","U","Marine","MarineMam","5.4.1 2.1",0,"Unchanged","Fishing",148,12.6495726495726,"N"
"273","Grampus griseus","Risso's Dolphin","LC","U","Marine","MarineMam","5.4.1 2.1",0,"Unchanged","Fishing",148,12.6495726495726,"N"
"274","Lagenodelphis hosei","Fraser's Dolphin","LC","U","Marine","MarineMam","5.4.1 2.1",0,"Unchanged","Fishing",148,12.6495726495726,"N"
"275","Lagenorhynchus acutus","Atlantic White-sided Dolphin","LC","U","Marine","MarineMam","5.4.1 2.1",0,"Unchanged","Fishing",148,12.6495726495726,"N"
"276","Lagenorhynchus albirostris","White-beaked Dolphin","LC","U","Marine","MarineMam","5.4.1 2.1",0,"Unchanged","Fishing",148,12.6495726495726,"N"
"277","Lagenorhynchus obliquidens","Pacific White-sided Dolphin","LC","U","Marine","MarineMam","5.4.1 2.1",0,"Unchanged","Fishing",148,12.6495726495726,"N"
"278","Leptonychotes weddellii","Weddell Seal","LC","U","Marine,Terrestrial","MarineMam","5.4.1 2.1",0,"Unchanged","Fishing",148,12.6495726495726,"N"
"279","Lobodon carcinophaga","Crabeater Seal","LC","U","Marine,Terrestrial","MarineMam","5.4.1 2.1",0,"Unchanged","Fishing",148,12.6495726495726,"N"
"280","Monodon monoceros","Narwhal","LC","U","Marine","MarineMam","5.4.1 2.1",0,"Unchanged","Fishing",148,12.6495726495726,"N"
"281","Ommatophoca rossii","Ross Seal","LC","U","Marine,Terrestrial","MarineMam","5.4.1 2.1",0,"Unchanged","Fishing",148,12.6495726495726,"N"
"282","Orcaella brevirostris","Irrawaddy Dolphin","EN","Decreasing","Marine,Freshwater","MarineMam","5.4.1 2.1",0,"Unchanged","Fishing",148,12.6495726495726,"Y"
"283","Phocoenoides dalli","Dall's Porpoise","LC","U","Marine","MarineMam","5.4.1 2.1",0,"Unchanged","Fishing",148,12.6495726495726,"N"
"284","Pseudorca crassidens","False Kille Whale","NT","U",NA,"MarineMam","5.4.1 2.1",0,"Unchanged","Fishing",148,12.6495726495726,"N"
"285","Sousa teuszii","Atlantic Humpbacked Dolphin","CR","Decreasing","Marine,Freshwater","MarineMam","5.4.1 2.1",0,"Unchanged","Fishing",148,12.6495726495726,"Y"
"286","Stenella coeruleoalba","Striped Dolphin","LC","U","Marine","MarineMam","5.4.1 2.1",0,"Unchanged","Fishing",148,12.6495726495726,"N"
"287","Tursiops truncatus","Common Bottlenose Dolphin","LC","U","Marine","MarineMam","5.4.1 2.1",0,"Unchanged","Fishing",148,12.6495726495726,"N"
"288","Prionace glauca","Blue Shark","NT","U","Marine","Elasmo","5.4.1 2.1",0,"Unchanged","Fishing",148,12.6495726495726,"N"
"289","Aetobatus narinari","Spotted Eagle Ray","NT","Decreasing","Marine","Elasmo","5.4.1 2.1",0,"Unchanged","Fishing",148,12.6495726495726,"N"
"290","Negaprion acutidens","Sharptooth Lemon Shark","VU","Decreasing","Marine","Elasmo","5.4.1 ",0,"Unchanged","Fishing",148,12.6495726495726,"Y"
"291","Odontaspis ferox","Smalltooth Sand Tiger","VU","Decreasing","Marine","Elasmo","5.4.1 2.1",0,"Unchanged","Fishing",148,12.6495726495726,"Y"
"292","Gymnura altavela","Spiny Butterfly Ray","VU","Decreasing","Marine","Elasmo","5.4.1 ",0,"Unchanged","Fishing",148,12.6495726495726,"Y"
"293","Argyrosomus hololepidotus","Madagascar Kob","EN","U","Marine","Bony","5.4.1 2.1",0,"Unchanged","Fishing",148,12.6495726495726,"Y"
"294","Tetrapturus belone","Mediterranean Shortbill Spearfish","LC","Stable","Marine","Bony","5.4.1 2.1",0,"Unchanged","Fishing",148,12.6495726495726,"N"
"295","Chitala lopis","Giant Featherback","LC","U","Freshwater","Bony","5.4.1 2.1",0,"Unchanged","Fishing",148,12.6495726495726,"N"
"296","Hucho taimen","Siberian Taimen","VU","Decreasing","Freshwater","Bony","5.4.1 ",0,"Unchanged","Fishing",148,12.6495726495726,"Y"
"297","Megalops atlanticus","Tarpon","VU","Decreasing","Marine","Bony","5.4.1 2.1",0,"Unchanged","Fishing",148,12.6495726495726,"Y"
"298","Lampris guttatus","Opah","LC","U","Marine","Bony","5.4.1 2.1",0,"Unchanged","Fishing",148,12.6495726495726,"N"
"299","Polydactylus quadrifilis","Giant African threadfin","LC","Stable","Marine","Bony","5.4.1 ",0,"Unchanged","Fishing",148,12.6495726495726,"N"
"300","Sousa chinensis","Indo-Pacific Humpbacked Dolphin","VU","Decreasing","Marine,Freshwater","MarineMam","5.4.1 2.1",0,"Unchanged","Fishing",148,12.6495726495726,"Y"
"301","Aonyx congicus","Congo Clawless Otter","NT","Decreasing","Freshwater,Terrestrial","LandMam","5.4.3 2.1",0,"Unchanged","Bycatch",140,11.965811965812,"N"
"302","Arctocephalus galapagoensis","Galapagos Fur Seal","EN","Decreasing","Marine,Terrestrial","MarineMam","5.4.3 2.1",-1,"Declined","Bycatch",140,11.965811965812,"Y"
"303","Arctocephalus gazella","Antarctic Fur Seal","LC","Decreasing","Marine,Terrestrial","MarineMam","5.4.3 2.1",0,"Unchanged","Bycatch",140,11.965811965812,"N"
"304","Arctocephalus townsendi","Guadalupe Fur Seal","LC","Increasing","Marine,Terrestrial","MarineMam","5.4.3 2.1",1,"Improved","Bycatch",140,11.965811965812,"N"
"305","Arctocephalus tropicalis","Subantarctic Fur Seal","LC","Stable","Marine,Terrestrial","MarineMam","5.4.3 2.1",0,"Unchanged","Bycatch",140,11.965811965812,"N"
"306","Balaenoptera acutorostrata","Common Minke Whale","LC","U","Marine","MarineMam","5.4.3 2.1",0,"Unchanged","Bycatch",140,11.965811965812,"N"
"307","Balaenoptera physalus","Fin Whale","VU","Increasing","Marine","MarineMam","5.4.3 2.1",1,"Improved","Bycatch",140,11.965811965812,"Y"
"308","Mecistops cataphractus","Slender-snouted Crocodile","CR","Decreasing","Freshwater,Terrestrial","ReptAmph","5.4.3 2.1",0,"Unchanged","Bycatch",140,11.965811965812,"Y"
"309","Crocodylus palustris","Mugger","VU","Stable","Freshwater,Terrestrial","ReptAmph","5.4.3 2.1",0,"Unchanged","Bycatch",140,11.965811965812,"Y"
"310","Crocodylus siamensis","Siamese Crocodile","CR","Decreasing","Freshwater,Terrestrial","ReptAmph","5.4.3 1.2",0,"Unchanged","Fishing",148,12.6495726495726,"Y"
"311","Crocodylus siamensis","Siamese Crocodile","CR","Decreasing","Freshwater,Terrestrial","ReptAmph","5.4.3 2.1",0,"Unchanged","Bycatch",140,11.965811965812,"Y"
"312","Eschrichtius robustus","Gray Whale","LC","Stable","Marine","MarineMam","5.4.3 2.1",1,"Improved","Bycatch",140,11.965811965812,"N"
"313","Feresa attenuata","Pygmy killer whale","LC","U","Marine","MarineMam","5.4.3 2.1",0,"Unchanged","Bycatch",140,11.965811965812,"N"
"314","Gavialis gangeticus","Gharial","CR","Increasing","Freshwater,Terrestrial","ReptAmph","5.4.3 2.1",-1,"Declined","Bycatch",140,11.965811965812,"Y"
"315","Grampus griseus","Risso's Dolphin","LC","U","Marine","MarineMam","5.4.3 2.1",0,"Unchanged","Bycatch",140,11.965811965812,"N"
"316","Hyperoodon planifrons","Southern Bottlenose Whale","LC","U","Marine","MarineMam","5.4.3 2.1",0,"Unchanged","Bycatch",140,11.965811965812,"N"
"317","Lagenodelphis hosei","Fraser's Dolphin","LC","U","Marine","MarineMam","5.4.3 2.1",0,"Unchanged","Bycatch",140,11.965811965812,"N"
"318","Lagenorhynchus acutus","Atlantic White-sided Dolphin","LC","U","Marine","MarineMam","5.4.3 2.1",0,"Unchanged","Bycatch",140,11.965811965812,"N"
"319","Lagenorhynchus obliquidens","Pacific White-sided Dolphin","LC","U","Marine","MarineMam","5.4.3 2.1",0,"Unchanged","Bycatch",140,11.965811965812,"N"
"320","Latimeria chalumnae","Coelacanth","CR","U","Marine","Bony","5.4.3 2.1",0,"Unchanged","Bycatch",140,11.965811965812,"Y"
"321","Megaptera novaeangliae","Humpback Whale","LC","Increasing","Marine","MarineMam","5.4.3 2.1",2,"Improved","Bycatch",140,11.965811965812,"N"
"322","Mirounga angustirostris","Northern Elephant Seal","LC","Increasing","Marine,Terrestrial","MarineMam","5.4.3 2.1",0,"Unchanged","Bycatch",140,11.965811965812,"N"
"323","Peponocephala electra","Melon-headed Whale","LC","U","Marine","MarineMam","5.4.3 2.1",0,"Unchanged","Bycatch",140,11.965811965812,"N"
"324","Pseudorca crassidens","False Kille Whale","NT","U",NA,"MarineMam","5.4.3 2.1",0,"Unchanged","Bycatch",140,11.965811965812,"N"
"325","Stenella attenuata","Pantropical Spotted Dolphin","LC","U","Marine","MarineMam","5.4.3 2.1",0,"Unchanged","Bycatch",140,11.965811965812,"N"
"326","Steno bredanensis","Rough-toothed Dolphin","LC","U","Marine","MarineMam","5.4.3 2.1",0,"Unchanged","Bycatch",140,11.965811965812,"N"
"327","Tomistoma schlegelii","False Gharial","VU","Decreasing","Freshwater,Terrestrial","ReptAmph","5.4.3 2.1",0,"Unchanged","Bycatch",140,11.965811965812,"Y"
"328","Tursiops truncatus","Common Bottlenose Dolphin","LC","U","Marine","MarineMam","5.4.3 2.1",0,"Unchanged","Bycatch",140,11.965811965812,"N"
"329","Pusa sibirica","Baikal Seal","LC","Stable","Freshwater,Terrestrial","LandMam","5.4.3 2.1",0,"Unchanged","Bycatch",140,11.965811965812,"N"
"330","Eubalaena japonica","North Pacific Right Whale","EN","U","Marine","MarineMam","5.4.3 2.1",0,"Unchanged","Bycatch",140,11.965811965812,"Y"
"331","Lampris guttatus","Opah","LC","U","Marine","Bony","5.4.3 2.1",0,"Unchanged","Bycatch",140,11.965811965812,"N"
"332","Epinephelus itajara","Atlantic Goliath Grouper","VU","Decreasing","Marine","Bony","5.4.3 2.1",0,"Unchanged","Bycatch",140,11.965811965812,"Y"
"333","Polydactylus quadrifilis","Giant African threadfin","LC","Stable","Marine","Bony","5.4.3 ",0,"Unchanged","Bycatch",140,11.965811965812,"N"
"334","Bubo scandiacus","Snowy Owl","VU","Decreasing","Freshwater,Terrestrial","Birds","5.4.3 2.1",0,"Unchanged","Bycatch",140,11.965811965812,"Y"
"335","Haliaeetus sanfordi","Sanford's Sea-eagle","VU","Decreasing","Marine,Freshwater,Terrestrial","Birds","5.4.3 1.2",0,"Unchanged","Fishing",148,12.6495726495726,"Y"
"336","Haliaeetus vociferoides","Madagascar Fish-eagle","CR","Decreasing","Marine,Freshwater,Terrestrial","Birds","5.4.3 1.3",0,"Unchanged","Fishing",148,12.6495726495726,"Y"
"337","Circaetus cinereus","Brown Snake-eagle","LC","Decreasing","Terrestrial","Birds","5.4.3 1.2",0,"Unchanged","Fishing",148,12.6495726495726,"N"
"338","Aonyx capensis","African Clawless Otter","NT","Decreasing","Marine,Freshwater,Terrestrial","LandMam","2.1.3 1.1",0,"Unchanged","Agriculture",108,9.23076923076923,"N"
"339","Caracal caracal","Caracal","LC","U","Terrestrial","LandMam","2.1.3 1.1",0,"Unchanged","Agriculture",108,9.23076923076923,"N"
"340","Mecistops cataphractus","Slender-snouted Crocodile","CR","Decreasing","Freshwater,Terrestrial","ReptAmph","2.1.3 1.1",0,"Unchanged","Agriculture",108,9.23076923076923,"Y"
"341","Cuon alpinus","Dhole","EN","Decreasing","Terrestrial","LandMam","2.1.3 1.1",0,"Unchanged","Agriculture",108,9.23076923076923,"Y"
"342","Lycaon pictus","African Wild Dog","EN","Decreasing",NA,"LandMam","2.1.3 1.1",0,"Unchanged","Agriculture",108,9.23076923076923,"Y"
"343","Lynx lynx","Eurasian Lynx","LC","Stable","Terrestrial","LandMam","2.1.3 1.1",0,"Unchanged","Agriculture",108,9.23076923076923,"N"
"344","Lynx pardinus","Iberian lynx","EN","Increasing","Terrestrial","LandMam","2.1.3 1.1",1,"Improved","Agriculture",108,9.23076923076923,"Y"
"345","Lynx rufus","Bobcat","LC","Stable","Terrestrial","LandMam","2.1.3 1.1",0,"Unchanged","Agriculture",108,9.23076923076923,"N"
"346","Neofelis nebulosa","Clouded Leopard","VU","Decreasing","Terrestrial","LandMam","2.1.3 1.1",0,"Unchanged","Agriculture",108,9.23076923076923,"Y"
"347","Orcaella brevirostris","Irrawaddy Dolphin","EN","Decreasing","Marine,Freshwater","MarineMam","2.1.3 1.1",0,"Unchanged","Agriculture",108,9.23076923076923,"Y"
"348","Panthera onca","Jaguar","NT","Decreasing","Terrestrial","LandMam","2.1.3 1.1",0,"Unchanged","Agriculture",108,9.23076923076923,"N"
"349","Panthera pardus","Leopard","VU","Decreasing","Terrestrial","LandMam","2.1.3 1.1",-1,"Declined","Agriculture",108,9.23076923076923,"Y"
"350","Panthera tigris","Tiger","EN","Decreasing","Terrestrial","LandMam","2.1.3 1.1",0,"Unchanged","Agriculture",108,9.23076923076923,"Y"
"351","Pardofelis marmorata","Marbled Cat","NT","Decreasing","Terrestrial","LandMam","2.1.3 1.1",0,"Unchanged","Agriculture",108,9.23076923076923,"N"
"352","Pteronura brasiliensis","Giant Otter","EN","Decreasing","Freshwater,Terrestrial","LandMam","2.1.3 1.1",0,"Unchanged","Agriculture",108,9.23076923076923,"Y"
"353","Puma concolor","Puma","LC","Decreasing","Terrestrial","LandMam","2.1.3 1.1",0,"Unchanged","Agriculture",108,9.23076923076923,"N"
"354","Tomistoma schlegelii","False Gharial","VU","Decreasing","Freshwater,Terrestrial","ReptAmph","2.1.3 1.1",0,"Unchanged","Agriculture",108,9.23076923076923,"Y"
"355","Milvus milvus","Red Kite","NT","Decreasing","Terrestrial","Birds","2.1.3 1.2",-1,"Declined","Agriculture",108,9.23076923076923,"N"
"356","Haliaeetus vociferoides","Madagascar Fish-eagle","CR","Decreasing","Marine,Freshwater,Terrestrial","Birds","2.1.3 1.1",0,"Unchanged","Agriculture",108,9.23076923076923,"Y"
"357","Haliaeetus leucoryphus","Pallas's Fish-eagle","EN","Decreasing","Freshwater,Terrestrial","Birds","2.1.3 1.1",0,"Unchanged","Agriculture",108,9.23076923076923,"Y"
"358","Haliaeetus albicilla","White-tailed Sea-eagle","LC","Increasing","Marine,Freshwater,Terrestrial","Birds","2.1.3 1.1",1,"Improved","Agriculture",108,9.23076923076923,"N"
"359","Neophron percnopterus","Egyptian Vulture","EN","Decreasing","Freshwater,Terrestrial","Birds","2.1.3 1.1",-3,"Declined","Agriculture",108,9.23076923076923,"Y"
"360","Aegypius monachus","Cinereous Vulture","NT","Decreasing","Terrestrial","Birds","2.1.3 1.1",0,"Unchanged","Agriculture",108,9.23076923076923,"N"
"361","Sarcogyps calvus","Red-headed Vulture","CR","Decreasing","Terrestrial","Birds","2.1.3 1.1",-4,"Declined","Agriculture",108,9.23076923076923,"Y"
"362","Terathopius ecaudatus","Bateleur","NT","Decreasing","Terrestrial","Birds","2.1.3 1.1",0,"Unchanged","Agriculture",108,9.23076923076923,"N"
"363","Buteogallus solitarius","Black Solitary Eagle","NT","Decreasing","Terrestrial","Birds","2.1.3 1.1",0,"Unchanged","Agriculture",108,9.23076923076923,"N"
"364","Buteogallus coronatus","Crowned Solitary Eagle","EN","Decreasing","Terrestrial","Birds","2.1.3 1.1",0,"Unchanged","Agriculture",108,9.23076923076923,"Y"
"365","Buteo regalis","Ferruginous Hawk","LC","Increasing","Terrestrial","Birds","2.1.3 1.1",0,"Unchanged","Agriculture",108,9.23076923076923,"N"
"366","Clanga clanga","Greater Spotted Eagle","VU","Decreasing","Freshwater,Terrestrial","Birds","2.1.3 1.1",0,"Unchanged","Agriculture",108,9.23076923076923,"Y"
"367","Aquila nipalensis","Steppe Eagle","EN","Decreasing","Terrestrial","Birds","2.1.3 1.1",-3,"Declined","Agriculture",108,9.23076923076923,"Y"
"368","Aquila adalberti","Spanish Imperial Eagle","VU","Increasing","Freshwater,Terrestrial","Birds","2.1.3 1.1",0,"Unchanged","Agriculture",108,9.23076923076923,"Y"
"369","Polemaetus bellicosus","Martial Eagle","VU","Decreasing","Freshwater,Terrestrial","Birds","2.1.3 1.1",-1,"Declined","Agriculture",108,9.23076923076923,"Y"
"370","Spizaetus ornatus","Ornate Hawk-eagle","NT","Decreasing","Terrestrial","Birds","2.1.3 1.1",-1,"Declined","Agriculture",108,9.23076923076923,"N"
"371","Stephanoaetus coronatus","Crowned Eagle","NT","Decreasing","Freshwater,Terrestrial","Birds","2.1.3 1.1",0,"Unchanged","Agriculture",108,9.23076923076923,"N"
"372","Sagittarius serpentarius","Secretarybird","VU","Decreasing","Terrestrial","Birds","2.1.3 1.1",0,"Unchanged","Agriculture",108,9.23076923076923,"Y"
"373","Circaetus gallicus","Short-toed Snake-eagle","LC","Stable","Terrestrial","Birds","2.1.3 1.1",0,"Unchanged","Agriculture",108,9.23076923076923,"N"
"374","Buteo rufinus","Long-legged Buzzard","LC","Stable","Terrestrial","Birds","2.1.3 1.1",0,"Unchanged","Agriculture",108,9.23076923076923,"N"
"375","Nisaetus philippensis","North Philippine Hawk-eagle","EN","Decreasing","Terrestrial","Birds","2.1.3 1.1",0,"Unchanged","Agriculture",108,9.23076923076923,"Y"
"376","Acinonyx jubatus","Cheetah","VU","Decreasing","Terrestrial","LandMam","5.1.1 2.1",0,"Unchanged","Hunting",93,7.94871794871795,"Y"
"377","Andrias davidianus","Chinese Giant Salamander","CR","Decreasing","Freshwater","ReptAmph","5.1.1 2.1",0,"Unchanged","Hunting",93,7.94871794871795,"Y"
"378","Aonyx capensis","African Clawless Otter","NT","Decreasing","Marine,Freshwater,Terrestrial","LandMam","5.1.1 2.1",0,"Unchanged","Hunting",93,7.94871794871795,"N"
"379","Aonyx congicus","Congo Clawless Otter","NT","Decreasing","Freshwater,Terrestrial","LandMam","5.1.1 2.1",0,"Unchanged","Hunting",93,7.94871794871795,"N"
"380","Crocodylus acutus","American Crocodile","VU","Increasing","Marine,Freshwater,Terrestrial","ReptAmph","5.1.1 2.1",0,"Unchanged","Hunting",93,7.94871794871795,"Y"
"381","Mecistops cataphractus","Slender-snouted Crocodile","CR","Decreasing","Freshwater,Terrestrial","ReptAmph","5.1.1 2.1",0,"Unchanged","Hunting",93,7.94871794871795,"Y"
"382","Crocodylus moreletii","Morelet's Crocodile","LC","Stable","Freshwater,Terrestrial","ReptAmph","5.1.1 2.1",0,"Unchanged","Hunting",93,7.94871794871795,"N"
"383","Crocodylus palustris","Mugger","VU","Stable","Freshwater,Terrestrial","ReptAmph","5.1.1 2.1",0,"Unchanged","Hunting",93,7.94871794871795,"Y"
"384","Crocodylus rhombifer","Cuban Crocodile","CR","U","Freshwater,Terrestrial","ReptAmph","5.1.1 2.1",-1,"Declined","Hunting",93,7.94871794871795,"Y"
"385","Crocodylus siamensis","Siamese Crocodile","CR","Decreasing","Freshwater,Terrestrial","ReptAmph","5.1.1 2.1",0,"Unchanged","Hunting",93,7.94871794871795,"Y"
"386","Cyclura cornuta","Rhinoceros Iguana","VU","Decreasing","Terrestrial","ReptAmph","5.1.1 2.1",0,"Unchanged","Hunting",93,7.94871794871795,"Y"
"387","Lycalopex culpaeus","Culpeo","LC","Stable","Terrestrial","LandMam","5.1.1 2.1",0,"Unchanged","Hunting",93,7.94871794871795,"N"
"388","Lycaon pictus","African Wild Dog","EN","Decreasing",NA,"LandMam","5.1.1 2.3.7",0,"Unchanged","Hunting",93,7.94871794871795,"Y"
"389","Lynx lynx","Eurasian Lynx","LC","Stable","Terrestrial","LandMam","5.1.1 2.1",0,"Unchanged","Hunting",93,7.94871794871795,"N"
"390","Lynx rufus","Bobcat","LC","Stable","Terrestrial","LandMam","5.1.1 2.1",0,"Unchanged","Hunting",93,7.94871794871795,"N"
"391","Neofelis nebulosa","Clouded Leopard","VU","Decreasing","Terrestrial","LandMam","5.1.1 2.1",0,"Unchanged","Hunting",93,7.94871794871795,"Y"
"392","Panthera leo","Lion","VU","Decreasing","Terrestrial","LandMam","5.1.1 2.1",0,"Unchanged","Hunting",93,7.94871794871795,"Y"
"393","Panthera onca","Jaguar","NT","Decreasing","Terrestrial","LandMam","5.1.1 2.1",0,"Unchanged","Hunting",93,7.94871794871795,"N"
"394","Panthera pardus","Leopard","VU","Decreasing","Terrestrial","LandMam","5.1.1 2.1",-1,"Declined","Hunting",93,7.94871794871795,"Y"
"395","Panthera tigris","Tiger","EN","Decreasing","Terrestrial","LandMam","5.1.1 2.1",0,"Unchanged","Hunting",93,7.94871794871795,"Y"
"396","Pardofelis marmorata","Marbled Cat","NT","Decreasing","Terrestrial","LandMam","5.1.1 2.1",0,"Unchanged","Hunting",93,7.94871794871795,"N"
"397","Pteronura brasiliensis","Giant Otter","EN","Decreasing","Freshwater,Terrestrial","LandMam","5.1.1 2.1",0,"Unchanged","Hunting",93,7.94871794871795,"Y"
"398","Puma concolor","Puma","LC","Decreasing","Terrestrial","LandMam","5.1.1 2.1",0,"Unchanged","Hunting",93,7.94871794871795,"N"
"399","Tomistoma schlegelii","False Gharial","VU","Decreasing","Freshwater,Terrestrial","ReptAmph","5.1.1 2.1",0,"Unchanged","Hunting",93,7.94871794871795,"Y"
"400","Panthera uncia","Snow Leopard","VU","Decreasing","Terrestrial","LandMam","5.1.1 2.1",0,"Unchanged","Hunting",93,7.94871794871795,"Y"
"401","Morelia spilota","Western Australian Carpet Python","LC","Decreasing","Terrestrial","ReptAmph","5.1.1 2.1",0,"Unchanged","Hunting",93,7.94871794871795,"N"
"402","Dolichophis schmidti","Schmidt's Whip Snake","LC","Stable","Terrestrial","ReptAmph","5.1.1 2.1",0,"Unchanged","Hunting",93,7.94871794871795,"N"
"403","Morelia amethistina","Amethystine Python","LC","Stable","Terrestrial","ReptAmph","5.1.1 2.1",0,"Unchanged","Hunting",93,7.94871794871795,"N"
"404","Ptyas carinata","Keeled Rat Snake","LC","Decreasing","Terrestrial","ReptAmph","5.1.1 2.1",0,"Unchanged","Hunting",93,7.94871794871795,"N"
"405","Varanus exanthematicus","Savannah Monitor","LC","U","Terrestrial","ReptAmph","5.1.1 2.1",0,"Unchanged","Hunting",93,7.94871794871795,"N"
"406","Python bivittatus","Burmese Python","VU","Decreasing","Terrestrial","ReptAmph","5.1.1 2.1",0,"Unchanged","Hunting",93,7.94871794871795,"Y"
"407","Bubo scandiacus","Snowy Owl","VU","Decreasing","Freshwater,Terrestrial","Birds","5.1.1 2.1",0,"Unchanged","Hunting",93,7.94871794871795,"Y"
"408","Strix nebulosa","Great Grey Owl","LC","Increasing","Freshwater,Terrestrial","Birds","5.1.1 2.1",0,"Unchanged","Hunting",93,7.94871794871795,"N"
"409","Pandion haliaetus","Osprey","LC","Increasing","Marine,Freshwater,Terrestrial","Birds","5.1.1 2.1",0,"Unchanged","Hunting",93,7.94871794871795,"N"
"410","Milvus milvus","Red Kite","NT","Decreasing","Terrestrial","Birds","5.1.1 2.1",-1,"Declined","Hunting",93,7.94871794871795,"N"
"411","Haliaeetus sanfordi","Sanford's Sea-eagle","VU","Decreasing","Marine,Freshwater,Terrestrial","Birds","5.1.1 2.1",0,"Unchanged","Hunting",93,7.94871794871795,"Y"
