Binomial,Common,Status,Trend,System,Taxon,Delta_Status,Status_Impr
Haliaeetus vociferoides,Madagascar Fish-eagle,CR,Decreasing,"Marine,Freshwater,Terrestrial",Birds,0,Unchanged
Hamirostra melanosternon,Black-breasted Buzzard,LC,Decreasing,Terrestrial,Birds,0,Unchanged
Harpia harpyja,Harpy Eagle,NT,Decreasing,Terrestrial,Birds,0,Unchanged
Harpyopsis novaeguineae,Papuan Eagle,VU,Decreasing,Terrestrial,Birds,0,Unchanged
Hemipristis elongata,Fossil Shark,VU,Decreasing,Marine,Elasmo,0,Unchanged
Hucho taimen,Siberian Taimen,VU,Decreasing,Freshwater,Bony,0,Unchanged
Ictinaetus malaiensis,Black Eagle,LC,Decreasing,Terrestrial,Birds,0,Unchanged
Isurus paucus,Longfin Mako,EN,Decreasing,Marine,Elasmo,0,Unchanged
Kajikia albida,White Marlin,VU,Decreasing,Marine,Bony,0,Unchanged
Kajikia audax,Striped Marlin,NT,Decreasing,Marine,Bony,0,Unchanged
Ketupa zeylonensis,Brown Fish-owl,LC,Decreasing,"Freshwater,Terrestrial",Birds,0,Unchanged
Lates angustifrons,Tanganyika Lates,EN,Decreasing,Freshwater,Bony,0,Unchanged
Lutjanus cyanopterus,Cubera Snapper,VU,Decreasing,Marine,Bony,0,Unchanged
Makaira nigricans,Blue Marlin,VU,Decreasing,Marine,Bony,0,Unchanged
Megalops atlanticus,Tarpon,VU,Decreasing,Marine,Bony,0,Unchanged
Morelia spilota,Western Australian Carpet Python,LC,Decreasing,Terrestrial,ReptAmph,0,Unchanged
Morphnarchus princeps,Barred Hawk,LC,Decreasing,Terrestrial,Birds,0,Unchanged
Morphnus guianensis,Crested Eagle,NT,Decreasing,Terrestrial,Birds,0,Unchanged
Mycteroperca bonaci,Black Grouper,NT,Decreasing,Marine,Bony,0,Unchanged
Nebrius ferrugineus,Tawny Nurse Shark,VU,Decreasing,Marine,Elasmo,0,Unchanged
Negaprion acutidens,Sharptooth Lemon Shark,VU,Decreasing,Marine,Elasmo,0,Unchanged
Neofelis nebulosa,Clouded Leopard,VU,Decreasing,Terrestrial,LandMam,0,Unchanged
Nisaetus cirrhatus,Changeable Hawk-eagle,LC,Decreasing,Terrestrial,Birds,0,Unchanged
Nisaetus nipalensis,Mountain Hawk-eagle,LC,Decreasing,Terrestrial,Birds,0,Unchanged
Nisaetus philippensis,North Philippine Hawk-eagle,EN,Decreasing,Terrestrial,Birds,0,Unchanged
Odontaspis ferox,Smalltooth Sand Tiger,VU,Decreasing,Marine,Elasmo,0,Unchanged
Panthera leo,Lion,VU,Decreasing,Terrestrial,LandMam,0,Unchanged
Panthera tigris,Tiger,EN,Decreasing,Terrestrial,LandMam,0,Unchanged
Petrus rupestris,Red Steenbras,EN,Decreasing,Marine,Bony,0,Unchanged
Pithecophaga jefferyi,Philippine Eagle,CR,Decreasing,Terrestrial,Birds,0,Unchanged
Ptyas carinata,Keeled Rat Snake,LC,Decreasing,Terrestrial,ReptAmph,0,Unchanged
Python bivittatus,Burmese Python,VU,Decreasing,Terrestrial,ReptAmph,0,Unchanged
Rhynchobatus luebberti,African Wedgefish,EN,Decreasing,Marine,Elasmo,0,Unchanged
Rostroraja alba,White Skate,EN,Decreasing,Marine,Elasmo,0,Unchanged
Salmo marmoratus,NA,LC,Decreasing,Freshwater,Bony,0,Unchanged
Sarcoramphus papa,King Vulture,LC,Decreasing,Terrestrial,Birds,0,Unchanged
Scomberomorus commerson,Narrow-barred Spanish Mackerel,NT,Decreasing,Marine,Bony,0,Unchanged
Scotopelia peli,Pel's Fishing-owl,LC,Decreasing,"Marine,Freshwater,Terrestrial",Birds,0,Unchanged
Sphyrna mokarran,Great Hammerhead,EN,Decreasing,Marine,Elasmo,0,Unchanged
Spizaetus tyrannus,Black Hawk-eagle,LC,Decreasing,"Freshwater,Terrestrial",Birds,0,Unchanged
Strix leptogrammica,Brown Wood-owl,LC,Decreasing,Terrestrial,Birds,0,Unchanged
Taeniurops meyeni,Blotched Fantail Ray,VU,Decreasing,Marine,Elasmo,0,Unchanged
Thunnus alalunga,Albacore Tuna,NT,Decreasing,Marine,Bony,0,Unchanged
Thunnus obesus,Bigeye Tuna,VU,Decreasing,Marine,Bony,0,Unchanged
Thunnus thynnus,Atlantic Bluefin Tuna,EN,Decreasing,Marine,Bony,0,Unchanged
Totoaba macdonaldi,Totoaba,CR,Decreasing,"Marine,Freshwater",Bony,0,Unchanged
Xiphias gladius,Swordfish,LC,Decreasing,Marine,Bony,0,Unchanged
Bubo nipalensis,Spot-bellied Eagle-owl,LC,Decreasing,Terrestrial,Birds,0,Unchanged
Gyps bengalensis,White-rumped Vulture,CR,Decreasing,Terrestrial,Birds,0,Unchanged
Mecistops cataphractus,Slender-snouted Crocodile,CR,Decreasing,"Freshwater,Terrestrial",ReptAmph,0,Unchanged
Thunnus orientalis,Pacific Bluefin Tuna,VU,Decreasing,Marine,Bony,0,Unchanged
Bubo shelleyi,Shelley's Eagle-owl,VU,Decreasing,Terrestrial,Birds,0,Unchanged
Carcharhinus falciformis,Silky Shark,VU,Decreasing,Marine,Elasmo,0,Unchanged
Epinephelus marginatus,Dusky Grouper,VU,Decreasing,Marine,Bony,0,Unchanged
Carcharhinus albimarginatus,Silvertip Shark,VU,Decreasing,Marine,Elasmo,0,Unchanged
Isurus oxyrinchus,Shortfin Mako,EN,Decreasing,Marine,Elasmo,0,Unchanged
Mycteroperca jordani,Gulf Grouper,EN,Decreasing,Marine,Bony,0,Unchanged
Sciades parkeri,Gillbacker Sea Catfish,VU,Decreasing,"Marine,Freshwater",Bony,0,Unchanged
Sphyrna zygaena,Smooth Hammerhead,VU,Decreasing,Marine,Elasmo,0,Unchanged
Aonyx congicus,Congo Clawless Otter,NT,Decreasing,"Freshwater,Terrestrial",LandMam,0,Unchanged
Buteogallus solitarius,Black Solitary Eagle,NT,Decreasing,Terrestrial,Birds,0,Unchanged
Carcharhinus plumbeus,Sandbar Shark,VU,Decreasing,Marine,Elasmo,0,Unchanged
Gypaetus barbatus,Bearded Vulture,NT,Decreasing,Terrestrial,Birds,0,Unchanged
Anoxypristis cuspidata,Narrow Sawfish,EN,Decreasing,Marine,Elasmo,0,Unchanged
