Binomial,Common,Status,Trend,System,Taxon,Delta_Status,Status_Impr
Hydrurga leptonyx,Leopard Seal,LC,U,"Marine,Terrestrial",MarineMam,0,Unchanged
Hyporthodus mystacinus,Misty Grouper,LC,U,Marine,Bony,0,Unchanged
Istiophorus platypterus,Sailfish,LC,U,Marine,Bony,0,Unchanged
Lagenodelphis hosei,Fraser's Dolphin,LC,U,Marine,MarineMam,0,Unchanged
Lagenorhynchus acutus,Atlantic White-sided Dolphin,LC,U,Marine,MarineMam,0,Unchanged
Lagenorhynchus albirostris,White-beaked Dolphin,LC,U,Marine,MarineMam,0,Unchanged
Lagenorhynchus cruciger,Hourglass Dolphin,LC,U,Marine,MarineMam,0,Unchanged
Lagenorhynchus obliquidens,Pacific White-sided Dolphin,LC,U,Marine,MarineMam,0,Unchanged
Lampris guttatus,Opah,LC,U,Marine,Bony,0,Unchanged
Lates niloticus,Nile Perch,LC,U,Freshwater,Bony,0,Unchanged
Leptonychotes weddellii,Weddell Seal,LC,U,"Marine,Terrestrial",MarineMam,0,Unchanged
Liasis olivaceus,Olive Python,LC,U,Terrestrial,ReptAmph,0,Unchanged
Lichia amia,Leerfish,LC,U,Marine,Bony,0,Unchanged
Lissodelphis borealis,Northern Right Whale Dolphin,LC,U,Marine,MarineMam,0,Unchanged
Lobodon carcinophaga,Crabeater Seal,LC,U,"Marine,Terrestrial",MarineMam,0,Unchanged
Maccullochella peelii,Murray River Cod,CR,U,Freshwater,Bony,0,Unchanged
Mitsukurina owstoni,Goblin Shark,LC,U,Marine,Elasmo,0,Unchanged
Morone saxatilis,Striped Bass,LC,U,"Marine,Freshwater",Bony,0,Unchanged
Negaprion brevirostris,Lemon Shark,NT,U,"Marine,Freshwater",Elasmo,0,Unchanged
Ommatophoca rossii,Ross Seal,LC,U,"Marine,Terrestrial",MarineMam,0,Unchanged
Ophichthus ophis,Spotted Snake Eel,LC,U,Marine,Bony,0,Unchanged
Ophisurus serpens,Serpent Eel,LC,U,Marine,Bony,0,Unchanged
Osteolaemus tetraspis,African Dwarf Crocodile,VU,U,"Freshwater,Terrestrial",ReptAmph,0,Unchanged
Peponocephala electra,Melon-headed Whale,LC,U,Marine,MarineMam,0,Unchanged
Phoca largha,Spotted Seal,LC,U,"Marine,Terrestrial",MarineMam,0,Unchanged
Phoca vitulina,Harbor Seal,LC,U,"Marine,Freshwater,Terrestrial",MarineMam,0,Unchanged
Physeter macrocephalus,Sperm Whale,VU,U,Marine,MarineMam,0,Unchanged
Plesiobatis daviesi,Giant Stingaree,LC,U,Marine,Elasmo,0,Unchanged
Prionace glauca,Blue Shark,NT,U,Marine,Elasmo,0,Unchanged
Pseudotriakis microdon,False Catshark,LC,U,Marine,Elasmo,0,Unchanged
Pusa hispida,Ringed Seal,LC,U,"Marine,Freshwater,Terrestrial",MarineMam,0,Unchanged
Python reticulatus,Reticulated Python,LC,U,Terrestrial,ReptAmph,0,Unchanged
Regalecus russelii,Oarfish,LC,U,Marine,Bony,0,Unchanged
Sander lucioperca,Pike-perch,LC,U,Freshwater,Bony,0,Unchanged
Seriola dumerili,Greater Amberjack,LC,U,Marine,Bony,0,Unchanged
Seriola hippos,Samson Fish,LC,U,Marine,Bony,0,Unchanged
Silurus asotus,Amur catfish,LC,U,Freshwater,Bony,0,Unchanged
Silurus glanis,Wels Catfish,LC,U,Freshwater,Bony,0,Unchanged
Somniosus microcephalus,Greenland Shark,NT,U,Marine,Elasmo,0,Unchanged
Sphyraena afra,Guinean Barracuda,LC,U,Marine,Bony,0,Unchanged
Sphyraena barracuda,Great Barracuda,LC,U,Marine,Bony,0,Unchanged
Steno bredanensis,Rough-toothed Dolphin,LC,U,Marine,MarineMam,0,Unchanged
Stereolepis gigas,Giant Sea Bass,CR,U,Marine,Bony,0,Unchanged
Trachipterus trachypterus,Mediterranean Dealfish,LC,U,Marine,Bony,0,Unchanged
Tursiops truncatus,Common Bottlenose Dolphin,LC,U,Marine,MarineMam,0,Unchanged
Varanus exanthematicus,Savannah Monitor,LC,U,Terrestrial,ReptAmph,0,Unchanged
Varanus komodoensis,Komodo Dragon,VU,U,Terrestrial,ReptAmph,0,Unchanged
Varanus salvadorii,Crocodile Monitor,LC,U,Terrestrial,ReptAmph,0,Unchanged
Ziphius cavirostris,Cuvier's Beaked Whale,LC,U,Marine,MarineMam,0,Unchanged
Psephurus gladius,Chinese Paddlefish,CR,U,"Marine,Freshwater",Bony,0,Unchanged
Crocodylus novaeguineae,New Guinea Crocodile,LC,U,"Freshwater,Terrestrial",ReptAmph,0,Unchanged
Crocodylus porosus,Salt-water Crocodile,LC,U,"Marine,Freshwater,Terrestrial",ReptAmph,0,Unchanged
Sphyrna lewini,Scalloped Hammerhead,EN,U,Marine,Elasmo,0,Unchanged
Orectolobus maculatus,Spotted Wobbegong,LC,U,Marine,Elasmo,0,Unchanged
Delphinapterus leucas,Beluga,LC,U,Marine,MarineMam,0,Unchanged
Latimeria chalumnae,Coelacanth,CR,U,Marine,Bony,0,Unchanged
Carcharhinus limbatus,Blacktip Shark,NT,U,Marine,Elasmo,0,Unchanged
Carcharias taurus,Sand Tiger Shark,VU,U,Marine,Elasmo,0,Unchanged
Hexanchus griseus,Bluntnose Sixgill Shark,NT,U,Marine,Elasmo,0,Unchanged
Cystophora cristata,Hooded Seal,VU,U,"Marine,Terrestrial",MarineMam,0,Unchanged
Odobenus rosmarus,Walrus,VU,U,"Marine,Terrestrial",MarineMam,0,Unchanged
Pseudorca crassidens,False Kille Whale,NT,U,NA,MarineMam,0,Unchanged
Pusa caspica,Caspian Seal,EN,U,"Freshwater,Terrestrial",LandMam,0,Unchanged
Balaenoptera acutorostrata,Common Minke Whale,LC,U,Marine,MarineMam,0,Unchanged
Hyperoodon planifrons,Southern Bottlenose Whale,LC,U,Marine,MarineMam,0,Unchanged
Monodon monoceros,Narwhal,LC,U,Marine,MarineMam,0,Unchanged
Phocoenoides dalli,Dall's Porpoise,LC,U,Marine,MarineMam,0,Unchanged
Stenella attenuata,Pantropical Spotted Dolphin,LC,U,Marine,MarineMam,0,Unchanged
Stenella coeruleoalba,Striped Dolphin,LC,U,Marine,MarineMam,0,Unchanged
Phocoena phocoena,Harbour Porpoise,LC,U,Marine,MarineMam,0,Unchanged
Lynx pardinus,Iberian lynx,EN,Increasing,Terrestrial,LandMam,1,Improved
Arctocephalus philippii,Juan Fernández Fur Seal,LC,Increasing,"Marine,Terrestrial",MarineMam,1,Improved
Arctocephalus townsendi,Guadalupe Fur Seal,LC,Increasing,"Marine,Terrestrial",MarineMam,1,Improved
Haliaeetus albicilla,White-tailed Sea-eagle,LC,Increasing,"Marine,Freshwater,Terrestrial",Birds,1,Improved
Balaenoptera physalus,Fin Whale,VU,Increasing,Marine,MarineMam,1,Improved
Balaena mysticetus,Bowhead Whale,LC,Increasing,Marine,MarineMam,1,Improved
Eschrichtius robustus,Gray Whale,LC,Stable,Marine,MarineMam,1,Improved
Dipturus innominatus,Smooth Skate,LC,Stable,Marine,Elasmo,1,Improved
Eubalaena australis,Southern Right Whale,LC,U,Marine,MarineMam,1,Improved
Eumetopias jubatus,Steller Sea Lion,NT,Increasing,"Marine,Terrestrial",MarineMam,2,Improved
Megaptera novaeangliae,Humpback Whale,LC,Increasing,Marine,MarineMam,2,Improved
Melanosuchus niger,Black Caiman,NT,U,"Freshwater,Terrestrial",ReptAmph,2,Improved
