Binomial,Common,redlistCategory,populationTrend,systems,Taxon,Delta_Status,Most_Recent_Change,is_geniune
Crocodylus mindorensis,Philippine Crocodile,Critically Endangered,Decreasing,"Freshwater,Terrestrial",ReptAmph,0,0,NA
Crocodylus siamensis,Siamese Crocodile,Critically Endangered,Decreasing,"Freshwater,Terrestrial",ReptAmph,0,0,NA
Cyclura cornuta,Rhinoceros Iguana,Vulnerable,Decreasing,Terrestrial,ReptAmph,0,0,NA
Cyclura stejnegeri,Mona Rhinoceros Iguana,Endangered,Decreasing,Terrestrial,ReptAmph,0,0,NA
Epinephelus lanceolatus,Giant Grouper,Data Deficient,Decreasing,Marine,Bony,0,0,NA
Eubalaena glacialis,North Atlantic Right Whale,Endangered,Decreasing,Marine,MarineMam,0,0,NA
Galeocerdo cuvier,Tiger Shark,Near Threatened,Decreasing,Marine,Elasmo,0,0,NA
Gymnura altavela,Spiny Butterfly Ray,Vulnerable,Decreasing,Marine,Elasmo,0,0,NA
Gyps indicus,Indian Vulture,Critically Endangered,Decreasing,Terrestrial,Birds,0,0,NA
Gyps tenuirostris,Slender-billed Vulture,Critically Endangered,Decreasing,Terrestrial,Birds,0,0,NA
Haliaeetus leucogaster,White-bellied Sea-eagle,Least Concern,Decreasing,"Marine,Freshwater,Terrestrial",Birds,0,0,NA
Haliaeetus pelagicus,Steller's Sea-eagle,Vulnerable,Decreasing,"Marine,Freshwater,Terrestrial",Birds,0,0,NA
Haliaeetus sanfordi,Sanford's Sea-eagle,Vulnerable,Decreasing,"Marine,Freshwater,Terrestrial",Birds,0,0,NA
Haliaeetus vociferoides,Madagascar Fish-eagle,Critically Endangered,Decreasing,"Marine,Freshwater,Terrestrial",Birds,0,0,NA
Hamirostra melanosternon,Black-breasted Buzzard,Least Concern,Decreasing,Terrestrial,Birds,0,0,NA
Harpia harpyja,Harpy Eagle,Near Threatened,Decreasing,Terrestrial,Birds,0,0,NA
Harpyopsis novaeguineae,Papuan Eagle,Vulnerable,Decreasing,Terrestrial,Birds,0,0,NA
Hemipristis elongata,Fossil Shark,Vulnerable,Decreasing,Marine,Elasmo,0,0,NA
Hucho taimen,Siberian Taimen,Vulnerable,Decreasing,Freshwater,Bony,0,0,NA
Ictinaetus malaiensis,Black Eagle,Least Concern,Decreasing,Terrestrial,Birds,0,0,NA
Isurus paucus,Longfin Mako,Endangered,Decreasing,Marine,Elasmo,0,0,NA
Kajikia albida,White Marlin,Vulnerable,Decreasing,Marine,Bony,0,0,NA
Kajikia audax,Striped Marlin,Near Threatened,Decreasing,Marine,Bony,0,0,NA
Ketupa zeylonensis,Brown Fish-owl,Least Concern,Decreasing,"Freshwater,Terrestrial",Birds,0,0,NA
Lates angustifrons,Tanganyika Lates,Endangered,Decreasing,Freshwater,Bony,0,0,NA
Lutjanus cyanopterus,Cubera Snapper,Vulnerable,Decreasing,Marine,Bony,0,0,NA
Makaira nigricans,Blue Marlin,Vulnerable,Decreasing,Marine,Bony,0,0,NA
Megalops atlanticus,Tarpon,Vulnerable,Decreasing,Marine,Bony,0,0,NA
Morelia spilota,Western Australian Carpet Python,Least Concern,Decreasing,Terrestrial,ReptAmph,0,0,NA
Morphnarchus princeps,Barred Hawk,Least Concern,Decreasing,Terrestrial,Birds,0,0,NA
Morphnus guianensis,Crested Eagle,Near Threatened,Decreasing,Terrestrial,Birds,0,0,NA
Mycteroperca bonaci,Black Grouper,Near Threatened,Decreasing,Marine,Bony,0,0,NA
Mycteroperca xenarcha,Broomtail Grouper,Data Deficient,Decreasing,Marine,Bony,0,0,NA
Nebrius ferrugineus,Tawny Nurse Shark,Vulnerable,Decreasing,Marine,Elasmo,0,0,NA
Negaprion acutidens,Sharptooth Lemon Shark,Vulnerable,Decreasing,Marine,Elasmo,0,0,NA
Neofelis nebulosa,Clouded Leopard,Vulnerable,Decreasing,Terrestrial,LandMam,0,0,NA
Nisaetus cirrhatus,Changeable Hawk-eagle,Least Concern,Decreasing,Terrestrial,Birds,0,0,NA
Nisaetus nipalensis,Mountain Hawk-eagle,Least Concern,Decreasing,Terrestrial,Birds,0,0,NA
Nisaetus philippensis,North Philippine Hawk-eagle,Endangered,Decreasing,Terrestrial,Birds,0,0,NA
Odontaspis ferox,Smalltooth Sand Tiger,Vulnerable,Decreasing,Marine,Elasmo,0,0,NA
Panthera leo,Lion,Vulnerable,Decreasing,Terrestrial,LandMam,0,0,NA
Panthera tigris,Tiger,Endangered,Decreasing,Terrestrial,LandMam,0,0,NA
