Binomial,Common,redlistCategory,populationTrend,systems,Taxon,Delta_Status,Most_Recent_Change,is_geniune
Caiman latirostris,Broad-snouted Caiman,Least Concern,U,"Freshwater,Terrestrial",ReptAmph,0,0,NA
Caiman yacare,Yacaré,Least Concern,U,"Freshwater,Terrestrial",ReptAmph,0,0,NA
Caracal caracal,Caracal,Least Concern,U,Terrestrial,LandMam,0,0,NA
Caranx ignobilis,Giant Trevally,Least Concern,U,Marine,Bony,0,0,NA
Carcharhinus brachyurus,Copper Shark,Near Threatened,U,"Marine,Freshwater",Elasmo,0,0,NA
Carcharhinus brevipinna,Spinner Shark,Near Threatened,U,Marine,Elasmo,0,0,NA
Carcharhinus galapagensis,Galapagos Shark,Near Threatened,U,Marine,Elasmo,0,0,NA
Carcharhinus leucas,Bull Shark,Near Threatened,U,"Marine,Freshwater",Elasmo,0,0,NA
Carcharodon carcharias,Great White Shark,Vulnerable,U,Marine,Elasmo,0,0,NA
Channa marulius,Great snakehead,Least Concern,U,Freshwater,Bony,0,0,NA
Chitala lopis,Giant Featherback,Least Concern,U,Freshwater,Bony,0,0,NA
Circaetus pectoralis,Black-chested Snake-eagle,Least Concern,U,Terrestrial,Birds,0,0,NA
Delphinus delphis,Short-beaked Common Dolphin,Least Concern,U,Marine,MarineMam,0,0,NA
Echinorhinus cookei,Prickly Shark,Data Deficient,U,Marine,Elasmo,0,0,NA
Epinephelus tukula,Potato Grouper,Least Concern,U,Marine,Bony,0,0,NA
Erignathus barbatus,Bearded Seal,Least Concern,U,"Marine,Terrestrial",MarineMam,0,0,NA
Eubalaena japonica,North Pacific Right Whale,Endangered,U,Marine,MarineMam,0,0,NA
Feresa attenuata,Pygmy killer whale,Least Concern,U,Marine,MarineMam,0,0,NA
Gadus morhua,Atlantic Cod,Vulnerable,U,Marine,Bony,0,0,NA
Grampus griseus,Risso's Dolphin,Least Concern,U,Marine,MarineMam,0,0,NA
Gymnosarda unicolor,Dogtooth Tuna,Least Concern,U,Marine,Bony,0,0,NA
Hippoglossus hippoglossus,Atlantic Halibut,Endangered,U,Marine,Bony,0,0,NA
Histriophoca fasciata,Ribbon Seal,Least Concern,U,Marine,MarineMam,0,0,NA
Hucho hucho,Danube Salmon,Endangered,U,Freshwater,Bony,0,0,NA
Hydrurga leptonyx,Leopard Seal,Least Concern,U,"Marine,Terrestrial",MarineMam,0,0,NA
Hyporthodus mystacinus,Misty Grouper,Least Concern,U,Marine,Bony,0,0,NA
Istiophorus platypterus,Sailfish,Least Concern,U,Marine,Bony,0,0,NA
Lagenodelphis hosei,Fraser's Dolphin,Least Concern,U,Marine,MarineMam,0,0,NA
Lagenorhynchus acutus,Atlantic White-sided Dolphin,Least Concern,U,Marine,MarineMam,0,0,NA
Lagenorhynchus albirostris,White-beaked Dolphin,Least Concern,U,Marine,MarineMam,0,0,NA
Lagenorhynchus cruciger,Hourglass Dolphin,Least Concern,U,Marine,MarineMam,0,0,NA
Lagenorhynchus obliquidens,Pacific White-sided Dolphin,Least Concern,U,Marine,MarineMam,0,0,NA
Lampris guttatus,Opah,Least Concern,U,Marine,Bony,0,0,NA
Lates niloticus,Nile Perch,Least Concern,U,Freshwater,Bony,0,0,NA
Leptonychotes weddellii,Weddell Seal,Least Concern,U,"Marine,Terrestrial",MarineMam,0,0,NA
Liasis olivaceus,Olive Python,Least Concern,U,Terrestrial,ReptAmph,0,0,NA
Lichia amia,Leerfish,Least Concern,U,Marine,Bony,0,0,NA
Lissodelphis borealis,Northern Right Whale Dolphin,Least Concern,U,Marine,MarineMam,0,0,NA
Lobodon carcinophaga,Crabeater Seal,Least Concern,U,"Marine,Terrestrial",MarineMam,0,0,NA
Maccullochella peelii,Murray River Cod,Critically Endangered,U,Freshwater,Bony,0,0,NA
Mitsukurina owstoni,Goblin Shark,Least Concern,U,Marine,Elasmo,0,0,NA
Morone saxatilis,Striped Bass,Least Concern,U,"Marine,Freshwater",Bony,0,0,NA
Negaprion brevirostris,Lemon Shark,Near Threatened,U,"Marine,Freshwater",Elasmo,0,0,NA
Ommatophoca rossii,Ross Seal,Least Concern,U,"Marine,Terrestrial",MarineMam,0,0,NA
Ophichthus ophis,Spotted Snake Eel,Least Concern,U,Marine,Bony,0,0,NA
Ophisurus serpens,Serpent Eel,Least Concern,U,Marine,Bony,0,0,NA
Osteolaemus tetraspis,African Dwarf Crocodile,Vulnerable,U,"Freshwater,Terrestrial",ReptAmph,0,0,NA
Peponocephala electra,Melon-headed Whale,Least Concern,U,Marine,MarineMam,0,0,NA
Phoca largha,Spotted Seal,Least Concern,U,"Marine,Terrestrial",MarineMam,0,0,NA
Phoca vitulina,Harbor Seal,Least Concern,U,"Marine,Freshwater,Terrestrial",MarineMam,0,0,NA
Physeter macrocephalus,Sperm Whale,Vulnerable,U,Marine,MarineMam,0,0,NA
Plesiobatis daviesi,Giant Stingaree,Least Concern,U,Marine,Elasmo,0,0,NA
Prionace glauca,Blue Shark,Near Threatened,U,Marine,Elasmo,0,0,NA
Pseudotriakis microdon,False Catshark,Least Concern,U,Marine,Elasmo,0,0,NA
Pusa hispida,Ringed Seal,Least Concern,U,"Marine,Freshwater,Terrestrial",MarineMam,0,0,NA
Python reticulatus,Reticulated Python,Least Concern,U,Terrestrial,ReptAmph,0,0,NA
Regalecus russelii,Oarfish,Least Concern,U,Marine,Bony,0,0,NA
Sander lucioperca,Pike-perch,Least Concern,U,Freshwater,Bony,0,0,NA
Seriola dumerili,Greater Amberjack,Least Concern,U,Marine,Bony,0,0,NA
Seriola hippos,Samson Fish,Least Concern,U,Marine,Bony,0,0,NA
Silurus asotus,Amur catfish,Least Concern,U,Freshwater,Bony,0,0,NA
Silurus glanis,Wels Catfish,Least Concern,U,Freshwater,Bony,0,0,NA
Somniosus microcephalus,Greenland Shark,Near Threatened,U,Marine,Elasmo,0,0,NA
Sphyraena afra,Guinean Barracuda,Least Concern,U,Marine,Bony,0,0,NA
Sphyraena barracuda,Great Barracuda,Least Concern,U,Marine,Bony,0,0,NA
Steno bredanensis,Rough-toothed Dolphin,Least Concern,U,Marine,MarineMam,0,0,NA
Stereolepis gigas,Giant Sea Bass,Critically Endangered,U,Marine,Bony,0,0,NA
Trachipterus trachypterus,Mediterranean Dealfish,Least Concern,U,Marine,Bony,0,0,NA
Tursiops truncatus,Common Bottlenose Dolphin,Least Concern,U,Marine,MarineMam,0,0,NA
Varanus exanthematicus,Savannah Monitor,Least Concern,U,Terrestrial,ReptAmph,0,0,NA
Varanus komodoensis,Komodo Dragon,Vulnerable,U,Terrestrial,ReptAmph,0,0,NA
Varanus salvadorii,Crocodile Monitor,Least Concern,U,Terrestrial,ReptAmph,0,0,NA
Ziphius cavirostris,Cuvier's Beaked Whale,Least Concern,U,Marine,MarineMam,0,0,NA
Psephurus gladius,Chinese Paddlefish,Critically Endangered,U,"Marine,Freshwater",Bony,0,0,NA
Crocodylus novaeguineae,New Guinea Crocodile,Least Concern,U,"Freshwater,Terrestrial",ReptAmph,0,0,NA
Crocodylus porosus,Salt-water Crocodile,Least Concern,U,"Marine,Freshwater,Terrestrial",ReptAmph,0,0,NA
Sphyrna lewini,Scalloped Hammerhead,Endangered,U,Marine,Elasmo,0,0,non-genuine
Orectolobus maculatus,Spotted Wobbegong,Least Concern,U,Marine,Elasmo,0,0,non-genuine
Delphinapterus leucas,Beluga,Least Concern,U,Marine,MarineMam,0,0,non-genuine
Latimeria chalumnae,Coelacanth,Critically Endangered,U,Marine,Bony,0,0,non-genuine
Carcharhinus limbatus,Blacktip Shark,Near Threatened,U,Marine,Elasmo,0,0,non-genuine
Carcharias taurus,Sand Tiger Shark,Vulnerable,U,Marine,Elasmo,0,0,non-genuine
Hexanchus griseus,Bluntnose Sixgill Shark,Near Threatened,U,Marine,Elasmo,0,0,non-genuine
Cystophora cristata,Hooded Seal,Vulnerable,U,"Marine,Terrestrial",MarineMam,0,0,non-genuine
Odobenus rosmarus,Walrus,Vulnerable,U,"Marine,Terrestrial",MarineMam,0,0,non-genuine
Pseudorca crassidens,False Kille Whale,Near Threatened,U,NA,MarineMam,0,0,non-genuine
Pusa caspica,Caspian Seal,Endangered,U,"Freshwater,Terrestrial",LandMam,0,0,non-genuine
Balaenoptera acutorostrata,Common Minke Whale,Least Concern,U,Marine,MarineMam,0,0,non-genuine
Hyperoodon planifrons,Southern Bottlenose Whale,Least Concern,U,Marine,MarineMam,0,0,non-genuine
Monodon monoceros,Narwhal,Least Concern,U,Marine,MarineMam,0,0,non-genuine
Phocoenoides dalli,Dall's Porpoise,Least Concern,U,Marine,MarineMam,0,0,non-genuine
Stenella attenuata,Pantropical Spotted Dolphin,Least Concern,U,Marine,MarineMam,0,0,non-genuine
Stenella coeruleoalba,Striped Dolphin,Least Concern,U,Marine,MarineMam,0,0,non-genuine
Phocoena phocoena,Harbour Porpoise,Least Concern,U,Marine,MarineMam,0,0,non-genuine
Lynx pardinus,Iberian lynx,Endangered,Increasing,Terrestrial,LandMam,1,1,genuine
Arctocephalus philippii,Juan Fernández Fur Seal,Least Concern,Increasing,"Marine,Terrestrial",MarineMam,1,1,genuine
Arctocephalus townsendi,Guadalupe Fur Seal,Least Concern,Increasing,"Marine,Terrestrial",MarineMam,1,1,genuine
Haliaeetus albicilla,White-tailed Sea-eagle,Least Concern,Increasing,"Marine,Freshwater,Terrestrial",Birds,1,1,genuine
Balaenoptera physalus,Fin Whale,Vulnerable,Increasing,Marine,MarineMam,1,1,genuine
Balaena mysticetus,Bowhead Whale,Least Concern,Increasing,Marine,MarineMam,1,1,genuine
Eschrichtius robustus,Gray Whale,Least Concern,Stable,Marine,MarineMam,1,1,genuine
Dipturus innominatus,Smooth Skate,Least Concern,Stable,Marine,Elasmo,1,1,genuine
Eubalaena australis,Southern Right Whale,Least Concern,U,Marine,MarineMam,1,1,genuine
Eumetopias jubatus,Steller Sea Lion,Near Threatened,Increasing,"Marine,Terrestrial",MarineMam,2,2,genuine
Megaptera novaeangliae,Humpback Whale,Least Concern,Increasing,Marine,MarineMam,2,2,genuine
Melanosuchus niger,Black Caiman,Near Threatened,U,"Freshwater,Terrestrial",ReptAmph,2,2,genuine
